Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(1, 46.468900000000005)	(2, 47.2716)	(3, 47.0563)	(4, 47.152899999999995)	(5, 46.266)	(6, 47.0322)	(7, 0.813934)	(8, 1.5648900000000001)	(9, 2.10014)	(10, 3.1902600000000003)	(11, 48.1396)	(12, 47.9734)	(13, 48.4015)	(14, 48.655300000000004)	(15, 48.6958)	(16, 48.329299999999996)	(17, 48.4388)	(18, 48.2191)	(19, 47.392)	(20, 46.6408)	(21, 44.5804)	(22, 44.8218)	(23, 40.1762)	(24, 39.3623)	(25, 39.5103)	(26, 39.7842)	(27, 39.919)	(28, 39.3275)	(29, 41.1878)	(30, 39.9478)	(31, 39.9293)	(32, 39.994800000000005)	(33, 39.681)	(34, 40.1829)	(35, 40.116800000000005)	(36, 40.2157)	(37, 40.1507)	(38, 39.2519)	(39, 39.7679)	(40, 40.1657)	(41, 39.5169)	(42, 39.6606)	(43, 39.7016)	(44, 38.973600000000005)	(45, 39.2341)	(46, 39.1072)	(47, 39.0619)	(48, 40.014300000000006)	(49, 39.4608)	(50, 39.250099999999996)	(51, 38.8332)	(52, 39.269999999999996)	(53, 38.7977)	(54, 39.1389)	(55, 38.8273)	(56, 38.931900000000006)	(57, 38.427299999999995)	(58, 39.428000000000004)	(59, 39.4884)	(60, 39.263)	(61, 39.3425)	(62, 38.4012)	(63, 39.2031)	(64, 38.9435)	(65, 38.7873)	(66, 38.9)	(67, 38.624399999999994)	(68, 39.181)	(69, 38.548700000000004)	(70, 38.8461)	(71, 39.6302)	(72, 38.8592)	(73, 39.482)	(74, 39.2866)	(75, 39.1178)	(76, 39.6472)	(77, 39.293099999999995)	(78, 37.8945)	(79, 39.6544)	(80, 38.8382)	(81, 38.9928)	(82, 39.3082)	(83, 38.2605)	(84, 39.2102)	(85, 38.841300000000004)	(86, 38.5273)	(87, 38.5791)	(88, 39.117200000000004)	(89, 39.1638)	(90, 38.977000000000004)	(91, 38.9089)	(92, 38.813199999999995)	(93, 39.2681)	(94, 39.127)	(95, 39.010099999999994)	(96, 39.6493)	(97, 39.06)	(98, 38.632600000000004)	(99, 38.2956)	(100, 36.6713)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(1, 46.2364)	(2, 47.011399999999995)	(3, 46.8256)	(4, 46.705000000000005)	(5, 45.9788)	(6, 46.7747)	(7, 0.848075)	(8, 1.67384)	(9, 2.23672)	(10, 3.3865399999999997)	(11, 47.9852)	(12, 47.2862)	(13, 47.9079)	(14, 48.206900000000005)	(15, 48.0679)	(16, 47.897600000000004)	(17, 47.6758)	(18, 47.7164)	(19, 47.1239)	(20, 46.299800000000005)	(21, 44.4904)	(22, 44.595400000000005)	(23, 40.318599999999996)	(24, 39.324799999999996)	(25, 39.4548)	(26, 39.6265)	(27, 39.9146)	(28, 39.501799999999996)	(29, 41.475699999999996)	(30, 40.0485)	(31, 39.7835)	(32, 40.0249)	(33, 39.7117)	(34, 40.1234)	(35, 40.0879)	(36, 40.3039)	(37, 40.2096)	(38, 39.295)	(39, 39.5778)	(40, 40.2727)	(41, 39.3417)	(42, 39.8233)	(43, 39.6682)	(44, 39.1752)	(45, 38.8519)	(46, 39.0059)	(47, 39.0509)	(48, 40.0387)	(49, 39.3905)	(50, 39.0921)	(51, 38.8525)	(52, 39.1454)	(53, 38.8476)	(54, 39.0129)	(55, 38.610299999999995)	(56, 38.825900000000004)	(57, 38.3815)	(58, 39.4572)	(59, 39.446799999999996)	(60, 39.0715)	(61, 39.0969)	(62, 38.2662)	(63, 39.2065)	(64, 38.9366)	(65, 38.6394)	(66, 38.7855)	(67, 38.439299999999996)	(68, 39.0643)	(69, 38.2009)	(70, 38.5253)	(71, 39.3217)	(72, 38.6509)	(73, 39.3516)	(74, 39.147999999999996)	(75, 39.2048)	(76, 39.6728)	(77, 39.2684)	(78, 37.846000000000004)	(79, 39.4182)	(80, 38.6199)	(81, 38.9397)	(82, 39.3539)	(83, 38.3324)	(84, 39.256099999999996)	(85, 38.941700000000004)	(86, 38.547799999999995)	(87, 38.62)	(88, 38.8815)	(89, 39.3285)	(90, 38.8407)	(91, 39.0652)	(92, 39.198499999999996)	(93, 39.1861)	(94, 39.2902)	(95, 39.228699999999996)	(96, 39.443)	(97, 39.034600000000005)	(98, 38.3863)	(99, 37.9847)	(100, 36.5255)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(1, 46.588499999999996)	(2, 47.4658)	(3, 47.2784)	(4, 47.3365)	(5, 46.4704)	(6, 47.17)	(7, 0.8481789999999999)	(8, 1.57119)	(9, 2.09456)	(10, 3.15905)	(11, 48.283500000000004)	(12, 48.0475)	(13, 48.485299999999995)	(14, 48.8061)	(15, 48.7303)	(16, 48.4735)	(17, 48.4065)	(18, 48.2674)	(19, 47.4728)	(20, 46.7023)	(21, 44.6126)	(22, 44.6614)	(23, 40.038000000000004)	(24, 39.158)	(25, 39.2531)	(26, 39.5651)	(27, 39.7216)	(28, 39.0986)	(29, 41.0813)	(30, 39.7514)	(31, 39.658300000000004)	(32, 39.7877)	(33, 39.4304)	(34, 39.8947)	(35, 39.820699999999995)	(36, 40.0141)	(37, 39.947500000000005)	(38, 38.9944)	(39, 39.4327)	(40, 39.9674)	(41, 39.251999999999995)	(42, 39.5149)	(43, 39.4779)	(44, 38.826899999999995)	(45, 38.9425)	(46, 38.880700000000004)	(47, 38.8829)	(48, 39.8474)	(49, 39.2051)	(50, 38.9782)	(51, 38.6137)	(52, 38.981300000000005)	(53, 38.5393)	(54, 38.9084)	(55, 38.494499999999995)	(56, 38.5963)	(57, 38.135200000000005)	(58, 39.2845)	(59, 39.286)	(60, 39.089)	(61, 39.1673)	(62, 38.162099999999995)	(63, 38.933299999999996)	(64, 38.8296)	(65, 38.5809)	(66, 38.8144)	(67, 38.3523)	(68, 39.0488)	(69, 38.2805)	(70, 38.6548)	(71, 39.4529)	(72, 38.6867)	(73, 39.324)	(74, 39.1732)	(75, 38.975)	(76, 39.6173)	(77, 39.1659)	(78, 37.7694)	(79, 39.495400000000004)	(80, 38.7557)	(81, 38.8725)	(82, 39.2668)	(83, 38.178)	(84, 39.1106)	(85, 38.7857)	(86, 38.444)	(87, 38.4786)	(88, 39.0077)	(89, 39.0675)	(90, 38.8403)	(91, 38.7694)	(92, 38.791599999999995)	(93, 39.1864)	(94, 39.0031)	(95, 38.9318)	(96, 39.4688)	(97, 38.9783)	(98, 38.5165)	(99, 38.2727)	(100, 36.699)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(1, 45.9119)	(2, 46.7872)	(3, 46.4586)	(4, 46.4947)	(5, 45.6123)	(6, 46.2084)	(7, 0.802806)	(8, 1.62447)	(9, 2.44339)	(10, 3.43055)	(11, 47.4715)	(12, 47.041)	(13, 47.551700000000004)	(14, 47.7462)	(15, 47.6211)	(16, 47.3171)	(17, 47.1739)	(18, 47.0941)	(19, 46.6353)	(20, 45.8163)	(21, 44.1875)	(22, 44.3925)	(23, 40.220800000000004)	(24, 39.1268)	(25, 39.3913)	(26, 39.6352)	(27, 39.7454)	(28, 39.407399999999996)	(29, 41.4112)	(30, 39.9846)	(31, 39.8004)	(32, 39.9076)	(33, 39.8131)	(34, 40.1706)	(35, 40.2688)	(36, 40.464)	(37, 40.4243)	(38, 39.567600000000006)	(39, 39.8784)	(40, 40.3979)	(41, 39.6716)	(42, 39.9602)	(43, 39.8518)	(44, 39.3907)	(45, 39.0844)	(46, 39.2068)	(47, 39.179199999999994)	(48, 40.1239)	(49, 39.5617)	(50, 39.228)	(51, 39.0935)	(52, 39.2965)	(53, 39.1217)	(54, 39.2305)	(55, 38.8467)	(56, 38.9935)	(57, 38.563399999999994)	(58, 39.4653)	(59, 39.7196)	(60, 39.1654)	(61, 39.292)	(62, 38.507200000000005)	(63, 39.3955)	(64, 39.1315)	(65, 38.8837)	(66, 38.8967)	(67, 38.62)	(68, 39.231300000000005)	(69, 38.478899999999996)	(70, 38.8981)	(71, 39.6457)	(72, 38.8237)	(73, 39.4033)	(74, 39.3258)	(75, 39.2471)	(76, 39.8266)	(77, 39.4343)	(78, 37.9546)	(79, 39.6642)	(80, 38.8425)	(81, 39.0223)	(82, 39.4996)	(83, 38.5758)	(84, 39.1776)	(85, 38.946999999999996)	(86, 38.7672)	(87, 38.7031)	(88, 39.0197)	(89, 39.313700000000004)	(90, 38.903999999999996)	(91, 39.0745)	(92, 39.184200000000004)	(93, 39.1864)	(94, 39.3061)	(95, 39.1863)	(96, 39.5545)	(97, 39.3075)	(98, 38.7615)	(99, 38.5132)	(100, 37.4154)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(1, 46.264)	(2, 46.948)	(3, 46.9195)	(4, 46.7724)	(5, 45.5643)	(6, 45.8045)	(7, 0.7163649999999999)	(8, 1.436)	(9, 2.3031099999999998)	(10, 3.31609)	(11, 47.5406)	(12, 46.995599999999996)	(13, 47.7261)	(14, 47.0326)	(15, 47.6376)	(16, 46.538000000000004)	(17, 46.960499999999996)	(18, 46.7958)	(19, 46.545199999999994)	(20, 44.465500000000006)	(21, 43.859500000000004)	(22, 44.1978)	(23, 40.260400000000004)	(24, 38.6075)	(25, 38.324200000000005)	(26, 38.867200000000004)	(27, 38.3016)	(28, 38.1599)	(29, 40.978500000000004)	(30, 39.042100000000005)	(31, 39.475500000000004)	(32, 39.5168)	(33, 39.1817)	(34, 39.6055)	(35, 39.3768)	(36, 39.827200000000005)	(37, 40.1262)	(38, 38.797599999999996)	(39, 38.9834)	(40, 39.628600000000006)	(41, 39.2367)	(42, 38.6779)	(43, 39.0218)	(44, 38.932)	(45, 38.3868)	(46, 38.7827)	(47, 38.6975)	(48, 39.6128)	(49, 39.2434)	(50, 38.8696)	(51, 38.812400000000004)	(52, 39.1449)	(53, 39.1559)	(54, 39.0459)	(55, 38.3829)	(56, 38.5079)	(57, 38.2079)	(58, 38.8488)	(59, 39.617599999999996)	(60, 38.6562)	(61, 39.0682)	(62, 38.2052)	(63, 39.0533)	(64, 38.7698)	(65, 38.6699)	(66, 38.8667)	(67, 38.553399999999996)	(68, 39.1237)	(69, 38.701299999999996)	(70, 39.0552)	(71, 39.3231)	(72, 38.748)	(73, 39.3563)	(74, 39.5723)	(75, 39.9028)	(76, 40.3162)	(77, 39.947300000000006)	(78, 37.7975)	(79, 39.6025)	(80, 38.8461)	(81, 38.8401)	(82, 39.1657)	(83, 37.78)	(84, 38.7929)	(85, 38.6337)	(86, 38.5826)	(87, 38.1595)	(88, 38.8287)	(89, 39.1148)	(90, 38.4553)	(91, 38.6685)	(92, 38.743)	(93, 39.0417)	(94, 39.0492)	(95, 38.9637)	(96, 39.482)	(97, 39.1496)	(98, 38.5342)	(99, 38.342)	(100, 37.016)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(1, 46.0683)	(2, 46.6055)	(3, 46.1622)	(4, 46.3176)	(5, 45.4511)	(6, 45.962599999999995)	(7, 0.8891150000000001)	(8, 1.76108)	(9, 2.65986)	(10, 3.62402)	(11, 47.5526)	(12, 47.2026)	(13, 47.5012)	(14, 47.626200000000004)	(15, 47.7503)	(16, 47.1413)	(17, 47.5203)	(18, 47.237)	(19, 46.744400000000006)	(20, 45.6107)	(21, 44.2353)	(22, 44.658300000000004)	(23, 40.3579)	(24, 39.3917)	(25, 39.3331)	(26, 39.6215)	(27, 39.4042)	(28, 39.3841)	(29, 41.0407)	(30, 39.9871)	(31, 40.0805)	(32, 39.8493)	(33, 39.8181)	(34, 40.414899999999996)	(35, 40.1746)	(36, 40.6554)	(37, 40.5435)	(38, 39.689)	(39, 40.001599999999996)	(40, 40.3211)	(41, 40.163700000000006)	(42, 39.6269)	(43, 39.7872)	(44, 39.6027)	(45, 39.555099999999996)	(46, 39.652100000000004)	(47, 39.533)	(48, 40.1177)	(49, 39.9052)	(50, 39.7322)	(51, 39.338699999999996)	(52, 39.759699999999995)	(53, 39.8744)	(54, 39.9263)	(55, 39.387699999999995)	(56, 39.5052)	(57, 39.177499999999995)	(58, 39.518100000000004)	(59, 40.2206)	(60, 39.4662)	(61, 39.9163)	(62, 39.0824)	(63, 39.8983)	(64, 39.3322)	(65, 39.5467)	(66, 39.4585)	(67, 39.3639)	(68, 39.5225)	(69, 39.414300000000004)	(70, 39.6071)	(71, 39.9107)	(72, 39.3022)	(73, 39.7183)	(74, 39.6988)	(75, 39.9426)	(76, 40.178000000000004)	(77, 39.8582)	(78, 38.4702)	(79, 40.134100000000004)	(80, 39.239200000000004)	(81, 39.2201)	(82, 39.5409)	(83, 38.6373)	(84, 39.1872)	(85, 39.1393)	(86, 38.9895)	(87, 38.7427)	(88, 39.4905)	(89, 39.4431)	(90, 39.1211)	(91, 39.1498)	(92, 39.1029)	(93, 39.521699999999996)	(94, 39.4339)	(95, 39.2764)	(96, 39.9354)	(97, 39.683099999999996)	(98, 39.177099999999996)	(99, 38.9629)	(100, 37.730599999999995)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(1, 46.630300000000005)	(2, 47.0535)	(3, 46.7815)	(4, 46.7995)	(5, 45.4798)	(6, 45.6129)	(7, 1.0033500000000002)	(8, 1.99422)	(9, 3.00175)	(10, 4.00119)	(11, 46.8646)	(12, 46.7755)	(13, 47.442499999999995)	(14, 46.679500000000004)	(15, 47.5325)	(16, 46.173199999999994)	(17, 46.9805)	(18, 46.6607)	(19, 46.130300000000005)	(20, 44.5901)	(21, 43.6708)	(22, 43.939099999999996)	(23, 40.167500000000004)	(24, 39.0235)	(25, 38.8374)	(26, 39.6432)	(27, 38.9763)	(28, 38.501400000000004)	(29, 40.9501)	(30, 39.3878)	(31, 39.7315)	(32, 39.5775)	(33, 39.3635)	(34, 39.8827)	(35, 39.6306)	(36, 40.0089)	(37, 39.9671)	(38, 38.805099999999996)	(39, 39.2643)	(40, 39.5379)	(41, 39.373200000000004)	(42, 38.8757)	(43, 38.9933)	(44, 38.8039)	(45, 38.6267)	(46, 38.7616)	(47, 38.7418)	(48, 39.6851)	(49, 39.4641)	(50, 39.4317)	(51, 39.1863)	(52, 39.5822)	(53, 39.405699999999996)	(54, 39.3621)	(55, 39.0455)	(56, 38.9922)	(57, 38.6496)	(58, 39.2651)	(59, 39.8768)	(60, 38.9349)	(61, 39.3035)	(62, 38.5247)	(63, 39.3489)	(64, 38.702999999999996)	(65, 39.0811)	(66, 38.982099999999996)	(67, 38.982099999999996)	(68, 39.3239)	(69, 39.0771)	(70, 39.2826)	(71, 39.7495)	(72, 39.0554)	(73, 39.5546)	(74, 39.659499999999994)	(75, 39.487100000000005)	(76, 39.9953)	(77, 39.7284)	(78, 37.8838)	(79, 39.7797)	(80, 38.8105)	(81, 38.9451)	(82, 39.1803)	(83, 38.0755)	(84, 38.9708)	(85, 38.8695)	(86, 38.6526)	(87, 38.439)	(88, 39.2051)	(89, 39.3024)	(90, 38.9318)	(91, 38.8543)	(92, 39.0011)	(93, 39.293800000000005)	(94, 39.1348)	(95, 39.2213)	(96, 39.811800000000005)	(97, 39.315)	(98, 38.832100000000004)	(99, 38.4965)	(100, 37.0181)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(1, 46.2565)	(2, 46.8709)	(3, 46.5724)	(4, 46.495999999999995)	(5, 45.6885)	(6, 46.4454)	(7, 0.7810980000000001)	(8, 1.4661)	(9, 1.99878)	(10, 3.04495)	(11, 47.9998)	(12, 47.609899999999996)	(13, 48.043400000000005)	(14, 47.8763)	(15, 48.3049)	(16, 47.534)	(17, 47.9064)	(18, 47.7236)	(19, 46.9339)	(20, 45.7406)	(21, 44.3382)	(22, 44.494499999999995)	(23, 40.0413)	(24, 39.1593)	(25, 39.0046)	(26, 39.4086)	(27, 39.062599999999996)	(28, 38.839)	(29, 40.5987)	(30, 39.6498)	(31, 39.738)	(32, 39.2277)	(33, 39.299)	(34, 39.8061)	(35, 39.669900000000005)	(36, 39.9231)	(37, 39.807700000000004)	(38, 38.854499999999994)	(39, 39.2243)	(40, 39.5333)	(41, 39.3774)	(42, 38.948100000000004)	(43, 39.0351)	(44, 38.8718)	(45, 38.9603)	(46, 39.0225)	(47, 38.927)	(48, 39.4582)	(49, 39.360800000000005)	(50, 39.0831)	(51, 38.8485)	(52, 39.2778)	(53, 39.1087)	(54, 39.291599999999995)	(55, 38.8116)	(56, 38.8715)	(57, 38.428200000000004)	(58, 39.0043)	(59, 39.5272)	(60, 38.8392)	(61, 39.0355)	(62, 38.3464)	(63, 39.0849)	(64, 38.5454)	(65, 38.9048)	(66, 38.8106)	(67, 38.85)	(68, 39.0413)	(69, 38.7732)	(70, 39.0242)	(71, 39.4509)	(72, 38.813199999999995)	(73, 39.3149)	(74, 39.272800000000004)	(75, 39.2643)	(76, 39.762100000000004)	(77, 39.3523)	(78, 37.8084)	(79, 39.5597)	(80, 38.697199999999995)	(81, 38.7083)	(82, 39.0371)	(83, 37.906800000000004)	(84, 38.7959)	(85, 38.7913)	(86, 38.4909)	(87, 38.3486)	(88, 39.1638)	(89, 39.1781)	(90, 38.797)	(91, 38.6114)	(92, 38.7474)	(93, 39.1156)	(94, 38.866)	(95, 38.9125)	(96, 39.521699999999996)	(97, 39.0167)	(98, 38.5893)	(99, 38.3211)	(100, 36.7006)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(1, 46.6012)	(2, 47.133399999999995)	(3, 46.8831)	(4, 46.8766)	(5, 46.053399999999996)	(6, 46.774300000000004)	(7, 0.793977)	(8, 1.53018)	(9, 2.09107)	(10, 3.1623900000000003)	(11, 48.5251)	(12, 48.2419)	(13, 48.4806)	(14, 48.4643)	(15, 49.0551)	(16, 48.1059)	(17, 48.749700000000004)	(18, 48.3961)	(19, 47.5118)	(20, 46.2135)	(21, 44.5982)	(22, 44.8091)	(23, 40.2277)	(24, 39.5492)	(25, 39.1992)	(26, 39.6744)	(27, 39.232)	(28, 38.934999999999995)	(29, 40.7497)	(30, 39.704)	(31, 40.061600000000006)	(32, 39.3144)	(33, 39.3975)	(34, 40.145399999999995)	(35, 39.853300000000004)	(36, 40.2423)	(37, 40.0708)	(38, 39.1142)	(39, 39.5576)	(40, 39.879999999999995)	(41, 39.8372)	(42, 39.1971)	(43, 39.3429)	(44, 39.1256)	(45, 39.4697)	(46, 39.4388)	(47, 39.1753)	(48, 39.860800000000005)	(49, 39.7841)	(50, 39.6126)	(51, 39.1335)	(52, 39.7761)	(53, 39.508700000000005)	(54, 39.872)	(55, 39.352399999999996)	(56, 39.32)	(57, 38.8576)	(58, 39.2711)	(59, 39.9993)	(60, 39.3243)	(61, 39.6105)	(62, 38.6973)	(63, 39.4341)	(64, 38.8345)	(65, 39.4233)	(66, 39.1087)	(67, 39.1783)	(68, 39.4937)	(69, 39.365)	(70, 39.4887)	(71, 39.9937)	(72, 39.2438)	(73, 39.5111)	(74, 39.5533)	(75, 39.5895)	(76, 40.1137)	(77, 39.752700000000004)	(78, 37.975300000000004)	(79, 40.035)	(80, 38.9463)	(81, 39.049800000000005)	(82, 39.251200000000004)	(83, 38.1315)	(84, 39.0922)	(85, 38.9592)	(86, 38.6166)	(87, 38.4992)	(88, 39.513799999999996)	(89, 39.4581)	(90, 39.0851)	(91, 38.8351)	(92, 38.7713)	(93, 39.4716)	(94, 39.059)	(95, 39.0783)	(96, 39.841)	(97, 39.334599999999995)	(98, 39.1233)	(99, 38.881)	(100, 36.9284)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(1, 46.449400000000004)	(2, 47.416799999999995)	(3, 47.2795)	(4, 47.1841)	(5, 46.4245)	(6, 47.5025)	(7, 0.719902)	(8, 1.35195)	(9, 1.82183)	(10, 2.8490499999999996)	(11, 48.6484)	(12, 47.8211)	(13, 48.3557)	(14, 48.8877)	(15, 48.3838)	(16, 48.551100000000005)	(17, 48.0178)	(18, 48.004999999999995)	(19, 47.4624)	(20, 46.7152)	(21, 44.6115)	(22, 44.6394)	(23, 40.0864)	(24, 39.0059)	(25, 39.1027)	(26, 39.2415)	(27, 39.789)	(28, 39.1604)	(29, 41.329100000000004)	(30, 39.6642)	(31, 39.2953)	(32, 39.7188)	(33, 39.2465)	(34, 39.5852)	(35, 39.5395)	(36, 39.8234)	(37, 39.803)	(38, 38.7002)	(39, 39.068799999999996)	(40, 39.887)	(41, 38.6661)	(42, 39.5345)	(43, 39.4184)	(44, 38.6932)	(45, 38.2913)	(46, 38.5704)	(47, 38.574000000000005)	(48, 39.7897)	(49, 38.8978)	(50, 38.5235)	(51, 38.3287)	(52, 38.5173)	(53, 38.1789)	(54, 38.39)	(55, 38.016)	(56, 38.1801)	(57, 37.8006)	(58, 39.238099999999996)	(59, 38.9349)	(60, 38.8056)	(61, 38.7349)	(62, 37.675599999999996)	(63, 38.6124)	(64, 38.7018)	(65, 38.1142)	(66, 38.4427)	(67, 37.858999999999995)	(68, 38.83)	(69, 37.5578)	(70, 38.0325)	(71, 38.9086)	(72, 38.216)	(73, 38.981)	(74, 38.7871)	(75, 38.8287)	(76, 39.447500000000005)	(77, 38.9748)	(78, 37.507600000000004)	(79, 39.0261)	(80, 38.365700000000004)	(81, 38.691199999999995)	(82, 39.1201)	(83, 38.162)	(84, 39.0419)	(85, 38.5935)	(86, 38.129400000000004)	(87, 38.342999999999996)	(88, 38.492)	(89, 39.0033)	(90, 38.5055)	(91, 38.799)	(92, 38.9555)	(93, 38.9503)	(94, 39.0334)	(95, 38.9153)	(96, 39.089800000000004)	(97, 38.6447)	(98, 37.9358)	(99, 37.629000000000005)	(100, 36.1686)
