Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(1, 46.536699999999996)	(2, 47.2358)	(3, 47.0537)	(4, 47.1404)	(5, 46.149)	(6, 46.7987)	(7, 0.782099)	(8, 1.5130299999999999)	(9, 2.03364)	(10, 3.0924199999999997)	(11, 47.712500000000006)	(12, 47.525800000000004)	(13, 48.1169)	(14, 48.329)	(15, 48.5158)	(16, 48.0242)	(17, 48.2585)	(18, 47.9941)	(19, 47.1653)	(20, 46.5573)	(21, 44.5179)	(22, 44.834)	(23, 40.1584)	(24, 39.443400000000004)	(25, 39.616299999999995)	(26, 39.8786)	(27, 40.022000000000006)	(28, 39.4185)	(29, 41.273199999999996)	(30, 39.9505)	(31, 39.931)	(32, 39.999)	(33, 39.6824)	(34, 40.1856)	(35, 40.1203)	(36, 40.2186)	(37, 40.1543)	(38, 39.2551)	(39, 39.7718)	(40, 40.1696)	(41, 39.5206)	(42, 39.6644)	(43, 39.704)	(44, 38.977000000000004)	(45, 39.2374)	(46, 39.1106)	(47, 39.0644)	(48, 40.019)	(49, 39.4641)	(50, 39.2539)	(51, 38.8368)	(52, 39.2739)	(53, 38.8007)	(54, 39.143499999999996)	(55, 38.8316)	(56, 38.9358)	(57, 38.4324)	(58, 39.433800000000005)	(59, 39.4934)	(60, 39.2683)	(61, 39.349000000000004)	(62, 38.4072)	(63, 39.2084)	(64, 38.9499)	(65, 38.7927)	(66, 38.9056)	(67, 38.6305)	(68, 39.1862)	(69, 38.554)	(70, 38.852199999999996)	(71, 39.636500000000005)	(72, 38.8657)	(73, 39.489000000000004)	(74, 39.293800000000005)	(75, 39.1244)	(76, 39.6541)	(77, 39.299800000000005)	(78, 37.9003)	(79, 39.662)	(80, 38.845200000000006)	(81, 38.9996)	(82, 39.3162)	(83, 38.2664)	(84, 39.2179)	(85, 38.847500000000004)	(86, 38.5328)	(87, 38.5857)	(88, 39.1241)	(89, 39.1691)	(90, 38.985)	(91, 38.914300000000004)	(92, 38.819700000000005)	(93, 39.2737)	(94, 39.1334)	(95, 39.0181)	(96, 39.6575)	(97, 39.0677)	(98, 38.6392)	(99, 38.305499999999995)	(100, 36.6994)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(1, 46.3106)	(2, 46.9939)	(3, 46.8083)	(4, 46.678599999999996)	(5, 45.834)	(6, 46.5113)	(7, 0.8111389999999999)	(8, 1.61035)	(9, 2.1601)	(10, 3.26779)	(11, 47.4901)	(12, 46.7864)	(13, 47.606500000000004)	(14, 47.8534)	(15, 47.8352)	(16, 47.5365)	(17, 47.4505)	(18, 47.4508)	(19, 46.8472)	(20, 46.1974)	(21, 44.4206)	(22, 44.610699999999994)	(23, 40.2906)	(24, 39.393899999999995)	(25, 39.5715)	(26, 39.7225)	(27, 40.0253)	(28, 39.6008)	(29, 41.5647)	(30, 40.052)	(31, 39.785199999999996)	(32, 40.029199999999996)	(33, 39.714)	(34, 40.1263)	(35, 40.0918)	(36, 40.3074)	(37, 40.2132)	(38, 39.2982)	(39, 39.5818)	(40, 40.275499999999994)	(41, 39.3455)	(42, 39.8268)	(43, 39.6706)	(44, 39.178200000000004)	(45, 38.856)	(46, 39.01)	(47, 39.0542)	(48, 40.043299999999995)	(49, 39.3941)	(50, 39.0967)	(51, 38.8559)	(52, 39.1494)	(53, 38.8525)	(54, 39.017)	(55, 38.6142)	(56, 38.830999999999996)	(57, 38.3868)	(58, 39.462399999999995)	(59, 39.4521)	(60, 39.0771)	(61, 39.1032)	(62, 38.272600000000004)	(63, 39.213300000000004)	(64, 38.9432)	(65, 38.6463)	(66, 38.7919)	(67, 38.4454)	(68, 39.0704)	(69, 38.2067)	(70, 38.5309)	(71, 39.3281)	(72, 38.6586)	(73, 39.3583)	(74, 39.1551)	(75, 39.2111)	(76, 39.6815)	(77, 39.275999999999996)	(78, 37.8527)	(79, 39.4266)	(80, 38.6269)	(81, 38.9478)	(82, 39.362700000000004)	(83, 38.3406)	(84, 39.263)	(85, 38.9498)	(86, 38.556200000000004)	(87, 38.6278)	(88, 38.8902)	(89, 39.3378)	(90, 38.8506)	(91, 39.0728)	(92, 39.2062)	(93, 39.1941)	(94, 39.299299999999995)	(95, 39.24)	(96, 39.4539)	(97, 39.0439)	(98, 38.3954)	(99, 37.9964)	(100, 36.5557)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(1, 46.665600000000005)	(2, 47.4394)	(3, 47.2713)	(4, 47.312599999999996)	(5, 46.311600000000006)	(6, 46.867999999999995)	(7, 0.8095319999999999)	(8, 1.50732)	(9, 2.0179099999999996)	(10, 3.04533)	(11, 47.741099999999996)	(12, 47.4846)	(13, 48.1222)	(14, 48.395700000000005)	(15, 48.489599999999996)	(16, 48.0706)	(17, 48.172399999999996)	(18, 47.958)	(19, 47.1727)	(20, 46.5982)	(21, 44.5268)	(22, 44.6753)	(23, 40.0207)	(24, 39.2577)	(25, 39.3924)	(26, 39.6749)	(27, 39.8432)	(28, 39.2071)	(29, 41.179100000000005)	(30, 39.7543)	(31, 39.6618)	(32, 39.7922)	(33, 39.4328)	(34, 39.8992)	(35, 39.824)	(36, 40.017599999999995)	(37, 39.9522)	(38, 38.9995)	(39, 39.4371)	(40, 39.9729)	(41, 39.2562)	(42, 39.5195)	(43, 39.481100000000005)	(44, 38.8305)	(45, 38.9474)	(46, 38.886199999999995)	(47, 38.885799999999996)	(48, 39.853)	(49, 39.209500000000006)	(50, 38.9831)	(51, 38.6191)	(52, 38.9865)	(53, 38.544200000000004)	(54, 38.913399999999996)	(55, 38.4997)	(56, 38.6018)	(57, 38.140800000000006)	(58, 39.291199999999996)	(59, 39.292100000000005)	(60, 39.095800000000004)	(61, 39.1747)	(62, 38.1685)	(63, 38.9401)	(64, 38.8373)	(65, 38.587700000000005)	(66, 38.8209)	(67, 38.3589)	(68, 39.0559)	(69, 38.287)	(70, 38.6631)	(71, 39.460499999999996)	(72, 38.6938)	(73, 39.3323)	(74, 39.1807)	(75, 38.9824)	(76, 39.625899999999994)	(77, 39.1741)	(78, 37.7785)	(79, 39.504400000000004)	(80, 38.763999999999996)	(81, 38.881)	(82, 39.2763)	(83, 38.185)	(84, 39.1216)	(85, 38.7954)	(86, 38.4527)	(87, 38.4876)	(88, 39.015899999999995)	(89, 39.077)	(90, 38.8494)	(91, 38.778600000000004)	(92, 38.7988)	(93, 39.1958)	(94, 39.0144)	(95, 38.943)	(96, 39.4799)	(97, 38.9872)	(98, 38.527)	(99, 38.2849)	(100, 36.726)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(1, 45.9344)	(2, 46.7558)	(3, 46.4523)	(4, 46.480700000000006)	(5, 45.4816)	(6, 45.9895)	(7, 0.741434)	(8, 1.5372999999999999)	(9, 2.34056)	(10, 3.25881)	(11, 46.9996)	(12, 46.557900000000004)	(13, 47.267199999999995)	(14, 47.4075)	(15, 47.3984)	(16, 46.9743)	(17, 46.9553)	(18, 46.8357)	(19, 46.3758)	(20, 45.759)	(21, 44.135000000000005)	(22, 44.431599999999996)	(23, 40.1918)	(24, 39.190000000000005)	(25, 39.5093)	(26, 39.7335)	(27, 39.8503)	(28, 39.4992)	(29, 41.4967)	(30, 39.9878)	(31, 39.8044)	(32, 39.909299999999995)	(33, 39.8158)	(34, 40.173500000000004)	(35, 40.2718)	(36, 40.4678)	(37, 40.4301)	(38, 39.5694)	(39, 39.883)	(40, 40.4028)	(41, 39.6747)	(42, 39.9647)	(43, 39.8566)	(44, 39.393299999999996)	(45, 39.0875)	(46, 39.2115)	(47, 39.1824)	(48, 40.129999999999995)	(49, 39.5663)	(50, 39.232299999999995)	(51, 39.0976)	(52, 39.3029)	(53, 39.1275)	(54, 39.2374)	(55, 38.8508)	(56, 38.9982)	(57, 38.5674)	(58, 39.4697)	(59, 39.725300000000004)	(60, 39.1697)	(61, 39.2977)	(62, 38.512)	(63, 39.4015)	(64, 39.1376)	(65, 38.8902)	(66, 38.902300000000004)	(67, 38.6268)	(68, 39.238800000000005)	(69, 38.4857)	(70, 38.9049)	(71, 39.6532)	(72, 38.8295)	(73, 39.4097)	(74, 39.3337)	(75, 39.251999999999995)	(76, 39.833200000000005)	(77, 39.440799999999996)	(78, 37.959199999999996)	(79, 39.6753)	(80, 38.851200000000006)	(81, 39.029199999999996)	(82, 39.5092)	(83, 38.5828)	(84, 39.1858)	(85, 38.9536)	(86, 38.7753)	(87, 38.710499999999996)	(88, 39.028600000000004)	(89, 39.321400000000004)	(90, 38.9121)	(91, 39.0821)	(92, 39.189800000000005)	(93, 39.1916)	(94, 39.3136)	(95, 39.1899)	(96, 39.5574)	(97, 39.3117)	(98, 38.761)	(99, 38.5109)	(100, 37.4388)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(1, 46.3362)	(2, 46.9034)	(3, 46.8517)	(4, 46.7283)	(5, 45.387100000000004)	(6, 45.5285)	(7, 0.648937)	(8, 1.3373899999999999)	(9, 2.19066)	(10, 3.11617)	(11, 46.8637)	(12, 46.3369)	(13, 47.2505)	(14, 46.577400000000004)	(15, 47.2962)	(16, 46.041)	(17, 46.644999999999996)	(18, 46.3657)	(19, 46.1219)	(20, 44.4763)	(21, 43.7953)	(22, 44.2083)	(23, 40.210499999999996)	(24, 38.676100000000005)	(25, 38.5301)	(26, 39.0069)	(27, 38.4762)	(28, 38.3484)	(29, 41.1386)	(30, 39.042100000000005)	(31, 39.4792)	(32, 39.5198)	(33, 39.1853)	(34, 39.611000000000004)	(35, 39.3787)	(36, 39.830799999999996)	(37, 40.131299999999996)	(38, 38.8007)	(39, 38.987100000000005)	(40, 39.6341)	(41, 39.2429)	(42, 38.6812)	(43, 39.0269)	(44, 38.9346)	(45, 38.3891)	(46, 38.787)	(47, 38.7016)	(48, 39.618900000000004)	(49, 39.2485)	(50, 38.8746)	(51, 38.8154)	(52, 39.1529)	(53, 39.1613)	(54, 39.0532)	(55, 38.3872)	(56, 38.5146)	(57, 38.2108)	(58, 38.854699999999994)	(59, 39.625899999999994)	(60, 38.6597)	(61, 39.0771)	(62, 38.2098)	(63, 39.0597)	(64, 38.7751)	(65, 38.676100000000005)	(66, 38.8719)	(67, 38.5599)	(68, 39.1305)	(69, 38.709199999999996)	(70, 39.0623)	(71, 39.329)	(72, 38.7537)	(73, 39.366800000000005)	(74, 39.5796)	(75, 39.9109)	(76, 40.3238)	(77, 39.9557)	(78, 37.8029)	(79, 39.6133)	(80, 38.8532)	(81, 38.846799999999995)	(82, 39.1757)	(83, 37.7867)	(84, 38.8004)	(85, 38.643899999999995)	(86, 38.5931)	(87, 38.166)	(88, 38.8372)	(89, 39.1237)	(90, 38.4617)	(91, 38.6774)	(92, 38.7488)	(93, 39.0478)	(94, 39.0556)	(95, 38.9703)	(96, 39.488099999999996)	(97, 39.151399999999995)	(98, 38.5335)	(99, 38.345)	(100, 37.0426)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(1, 46.0998)	(2, 46.5879)	(3, 46.1617)	(4, 46.3232)	(5, 45.3606)	(6, 45.812599999999996)	(7, 0.830148)	(8, 1.68922)	(9, 2.57595)	(10, 3.48235)	(11, 47.214099999999995)	(12, 46.862500000000004)	(13, 47.266200000000005)	(14, 47.389399999999995)	(15, 47.5944)	(16, 46.8878)	(17, 47.377900000000004)	(18, 47.058499999999995)	(19, 46.5657)	(20, 45.609300000000005)	(21, 44.1879)	(22, 44.6512)	(23, 40.3354)	(24, 39.401199999999996)	(25, 39.4195)	(26, 39.6813)	(27, 39.475300000000004)	(28, 39.4636)	(29, 41.1108)	(30, 39.9906)	(31, 40.084900000000005)	(32, 39.8534)	(33, 39.8206)	(34, 40.4202)	(35, 40.178000000000004)	(36, 40.6593)	(37, 40.5486)	(38, 39.6928)	(39, 40.0056)	(40, 40.326499999999996)	(41, 40.169)	(42, 39.632)	(43, 39.791)	(44, 39.6083)	(45, 39.5581)	(46, 39.6568)	(47, 39.5382)	(48, 40.1219)	(49, 39.9115)	(50, 39.7385)	(51, 39.3426)	(52, 39.7647)	(53, 39.8799)	(54, 39.936)	(55, 39.391999999999996)	(56, 39.510400000000004)	(57, 39.1832)	(58, 39.5229)	(59, 40.2281)	(60, 39.4728)	(61, 39.9239)	(62, 39.0884)	(63, 39.905499999999996)	(64, 39.338)	(65, 39.5527)	(66, 39.465)	(67, 39.3693)	(68, 39.5309)	(69, 39.422000000000004)	(70, 39.6153)	(71, 39.9185)	(72, 39.3107)	(73, 39.7258)	(74, 39.7055)	(75, 39.948699999999995)	(76, 40.1871)	(77, 39.867599999999996)	(78, 38.4754)	(79, 40.1438)	(80, 39.2461)	(81, 39.2295)	(82, 39.5501)	(83, 38.6462)	(84, 39.1971)	(85, 39.147999999999996)	(86, 38.9983)	(87, 38.7519)	(88, 39.5009)	(89, 39.4524)	(90, 39.1293)	(91, 39.1598)	(92, 39.1073)	(93, 39.5285)	(94, 39.440599999999996)	(95, 39.2811)	(96, 39.9399)	(97, 39.6832)	(98, 39.1779)	(99, 38.9663)	(100, 37.754)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(1, 46.7699)	(2, 47.0002)	(3, 46.7393)	(4, 46.7704)	(5, 45.3067)	(6, 45.294000000000004)	(7, 0.924789)	(8, 1.8666399999999999)	(9, 2.86432)	(10, 3.7732599999999996)	(11, 46.202)	(12, 46.0977)	(13, 46.982600000000005)	(14, 46.2003)	(15, 47.2183)	(16, 45.701)	(17, 46.6537)	(18, 46.2188)	(19, 45.7207)	(20, 44.6769)	(21, 43.6463)	(22, 44.0325)	(23, 40.1702)	(24, 39.1462)	(25, 39.0925)	(26, 39.7982)	(27, 39.1909)	(28, 38.6963)	(29, 41.127900000000004)	(30, 39.3899)	(31, 39.7357)	(32, 39.5807)	(33, 39.365899999999996)	(34, 39.888600000000004)	(35, 39.6355)	(36, 40.0136)	(37, 39.9731)	(38, 38.8085)	(39, 39.2688)	(40, 39.5422)	(41, 39.3793)	(42, 38.8797)	(43, 38.9982)	(44, 38.8082)	(45, 38.6327)	(46, 38.766099999999994)	(47, 38.7465)	(48, 39.690599999999996)	(49, 39.47)	(50, 39.4377)	(51, 39.1927)	(52, 39.5881)	(53, 39.4126)	(54, 39.3701)	(55, 39.0517)	(56, 38.9998)	(57, 38.6561)	(58, 39.2733)	(59, 39.8838)	(60, 38.941700000000004)	(61, 39.3119)	(62, 38.5315)	(63, 39.357)	(64, 38.7106)	(65, 39.0891)	(66, 38.989000000000004)	(67, 38.9895)	(68, 39.3323)	(69, 39.0856)	(70, 39.2907)	(71, 39.7602)	(72, 39.0619)	(73, 39.5644)	(74, 39.6695)	(75, 39.494800000000005)	(76, 40.0066)	(77, 39.7394)	(78, 37.891200000000005)	(79, 39.7913)	(80, 38.8196)	(81, 38.9552)	(82, 39.1918)	(83, 38.0852)	(84, 38.9808)	(85, 38.8815)	(86, 38.6652)	(87, 38.4476)	(88, 39.217800000000004)	(89, 39.3133)	(90, 38.941199999999995)	(91, 38.8626)	(92, 39.009)	(93, 39.3056)	(94, 39.144800000000004)	(95, 39.2291)	(96, 39.8173)	(97, 39.3205)	(98, 38.8342)	(99, 38.4994)	(100, 37.049)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(1, 46.3321)	(2, 46.8434)	(3, 46.554)	(4, 46.4671)	(5, 45.5388)	(6, 46.1599)	(7, 0.744845)	(8, 1.40381)	(9, 1.92858)	(10, 2.93486)	(11, 47.4587)	(12, 47.047200000000004)	(13, 47.6713)	(14, 47.4552)	(15, 48.017900000000004)	(16, 47.1155)	(17, 47.6233)	(18, 47.3734)	(19, 46.5957)	(20, 45.6839)	(21, 44.263200000000005)	(22, 44.5193)	(23, 40.0192)	(24, 39.2226)	(25, 39.143)	(26, 39.5174)	(27, 39.1925)	(28, 38.9579)	(29, 40.7093)	(30, 39.6526)	(31, 39.739999999999995)	(32, 39.231100000000005)	(33, 39.3013)	(34, 39.8096)	(35, 39.673199999999994)	(36, 39.9273)	(37, 39.8113)	(38, 38.8582)	(39, 39.2281)	(40, 39.536100000000005)	(41, 39.381899999999995)	(42, 38.9512)	(43, 39.0377)	(44, 38.876)	(45, 38.963)	(46, 39.025999999999996)	(47, 38.9305)	(48, 39.4623)	(49, 39.3642)	(50, 39.088)	(51, 38.852399999999996)	(52, 39.2819)	(53, 39.1133)	(54, 39.2966)	(55, 38.8154)	(56, 38.8769)	(57, 38.4332)	(58, 39.0103)	(59, 39.533)	(60, 38.8453)	(61, 39.041399999999996)	(62, 38.3521)	(63, 39.0905)	(64, 38.5521)	(65, 38.9105)	(66, 38.8162)	(67, 38.8563)	(68, 39.0475)	(69, 38.7797)	(70, 39.0316)	(71, 39.4584)	(72, 38.8195)	(73, 39.3232)	(74, 39.2795)	(75, 39.2708)	(76, 39.769)	(77, 39.3597)	(78, 37.815)	(79, 39.5681)	(80, 38.705099999999995)	(81, 38.7164)	(82, 39.0461)	(83, 37.914500000000004)	(84, 38.804)	(85, 38.7994)	(86, 38.4984)	(87, 38.3568)	(88, 39.171)	(89, 39.184999999999995)	(90, 38.8073)	(91, 38.6198)	(92, 38.7538)	(93, 39.124199999999995)	(94, 38.8757)	(95, 38.922200000000004)	(96, 39.5314)	(97, 39.0258)	(98, 38.598)	(99, 38.3324)	(100, 36.728300000000004)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(1, 46.678599999999996)	(2, 47.1128)	(3, 46.8656)	(4, 46.8658)	(5, 45.9422)	(6, 46.5634)	(7, 0.76384)	(8, 1.4912)	(9, 2.04208)	(10, 3.09512)	(11, 48.15)	(12, 47.8728)	(13, 48.2443)	(14, 48.2416)	(15, 48.9165)	(16, 47.8809)	(17, 48.6165)	(18, 48.198)	(19, 47.332800000000006)	(20, 46.245000000000005)	(21, 44.5687)	(22, 44.820100000000004)	(23, 40.225899999999996)	(24, 39.5735)	(25, 39.3041)	(26, 39.7397)	(27, 39.317800000000005)	(28, 39.0191)	(29, 40.8252)	(30, 39.707100000000004)	(31, 40.0638)	(32, 39.3172)	(33, 39.4001)	(34, 40.149)	(35, 39.856700000000004)	(36, 40.2464)	(37, 40.0751)	(38, 39.1177)	(39, 39.5619)	(40, 39.882400000000004)	(41, 39.8414)	(42, 39.2004)	(43, 39.3456)	(44, 39.1294)	(45, 39.4728)	(46, 39.4426)	(47, 39.178000000000004)	(48, 39.8653)	(49, 39.7868)	(50, 39.6167)	(51, 39.1368)	(52, 39.7802)	(53, 39.5129)	(54, 39.8767)	(55, 39.3558)	(56, 39.3243)	(57, 38.8632)	(58, 39.2761)	(59, 40.005)	(60, 39.3301)	(61, 39.6162)	(62, 38.702799999999996)	(63, 39.439800000000005)	(64, 38.839800000000004)	(65, 39.4293)	(66, 39.1137)	(67, 39.1843)	(68, 39.4998)	(69, 39.3713)	(70, 39.4942)	(71, 39.9996)	(72, 39.2499)	(73, 39.5179)	(74, 39.5601)	(75, 39.5955)	(76, 40.1208)	(77, 39.7601)	(78, 37.9819)	(79, 40.0425)	(80, 38.9542)	(81, 39.0561)	(82, 39.2588)	(83, 38.1379)	(84, 39.0988)	(85, 38.9668)	(86, 38.6235)	(87, 38.5067)	(88, 39.5208)	(89, 39.4644)	(90, 39.0933)	(91, 38.841300000000004)	(92, 38.7785)	(93, 39.4795)	(94, 39.0674)	(95, 39.088)	(96, 39.85)	(97, 39.3422)	(98, 39.1317)	(99, 38.8896)	(100, 36.9546)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(1, 46.516000000000005)	(2, 47.370200000000004)	(3, 47.255399999999995)	(4, 47.1402)	(5, 46.237899999999996)	(6, 47.1631)	(7, 0.680944)	(8, 1.2866900000000001)	(9, 1.7416)	(10, 2.7237)	(11, 47.9978)	(12, 47.1817)	(13, 47.9722)	(14, 48.4369)	(15, 48.0993)	(16, 48.0673)	(17, 47.7308)	(18, 47.666799999999995)	(19, 47.1146)	(20, 46.5651)	(21, 44.519)	(22, 44.643)	(23, 40.045199999999994)	(24, 39.0997)	(25, 39.2461)	(26, 39.3618)	(27, 39.92)	(28, 39.2774)	(29, 41.4326)	(30, 39.6665)	(31, 39.297399999999996)	(32, 39.7225)	(33, 39.2479)	(34, 39.5889)	(35, 39.542899999999996)	(36, 39.8259)	(37, 39.8065)	(38, 38.702)	(39, 39.0713)	(40, 39.8891)	(41, 38.669599999999996)	(42, 39.5377)	(43, 39.4198)	(44, 38.6962)	(45, 38.2941)	(46, 38.5741)	(47, 38.5762)	(48, 39.794000000000004)	(49, 38.9007)	(50, 38.526700000000005)	(51, 38.3313)	(52, 38.5203)	(53, 38.1811)	(54, 38.3934)	(55, 38.018800000000006)	(56, 38.182700000000004)	(57, 37.805499999999995)	(58, 39.2429)	(59, 38.9394)	(60, 38.8104)	(61, 38.7399)	(62, 37.6798)	(63, 38.619)	(64, 38.7058)	(65, 38.1196)	(66, 38.447700000000005)	(67, 37.8642)	(68, 38.834999999999994)	(69, 37.5647)	(70, 38.0372)	(71, 38.914300000000004)	(72, 38.222)	(73, 38.9865)	(74, 38.7919)	(75, 38.8342)	(76, 39.454)	(77, 38.9809)	(78, 37.513400000000004)	(79, 39.0308)	(80, 38.371300000000005)	(81, 38.6971)	(82, 39.1266)	(83, 38.167899999999996)	(84, 39.049099999999996)	(85, 38.6008)	(86, 38.1359)	(87, 38.3494)	(88, 38.4976)	(89, 39.0096)	(90, 38.5124)	(91, 38.8035)	(92, 38.960699999999996)	(93, 38.9564)	(94, 39.0391)	(95, 38.9239)	(96, 39.101200000000006)	(97, 38.6519)	(98, 37.9433)	(99, 37.6384)	(100, 36.1992)
