Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.0378412)	(3, 0.00255355)	(4, 5.67456e-05)	(5, 0.0)	(6, 7.29586e-05)	(7, 0.000145917)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000251302)	(21, 0.0)	(22, 0.0)	(23, 0.00010538500000000001)	(24, 0.0)	(25, 8.10651e-06)	(26, 7.29586e-05)	(27, 0.00023508899999999998)	(28, 0.0005512430000000001)	(29, 0.008568580000000001)	(30, 0.000154024)	(31, 0.0014385700000000001)	(32, 0.00281122)	(33, 0.00276904)	(34, 0.0)	(35, 7.387709999999999e-05)	(36, 0.0)	(37, 8.264050000000001e-06)	(38, 0.000331956)	(39, 0.00101617)	(40, 0.00273786)	(41, 0.0081971)	(42, 5.912190000000001e-05)	(43, 0.0019007)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00081545)	(48, 0.000567206)	(49, 7.02567e-05)	(50, 3.53445e-05)	(51, 0.000124474)	(52, 1.79207e-05)	(53, 0.0)	(54, 0.000518647)	(55, 0.0008894)	(56, 0.00554124)	(57, 0.0009610770000000001)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 5.11559e-05)	(68, 0.00012407)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 1.14401e-05)	(77, 0.000359061)	(78, 0.0012667099999999999)	(79, 0.0)	(80, 0.000713684)	(81, 0.0)	(82, 0.000149143)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000886749)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.0373222)	(3, 0.0024515599999999998)	(4, 4.57381e-05)	(5, 0.0)	(6, 6.40333e-05)	(7, 0.00016465700000000002)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000210395)	(21, 0.0)	(22, 0.0)	(23, 6.40333e-05)	(24, 0.0)	(25, 0.0)	(26, 4.57381e-05)	(27, 0.000292724)	(28, 0.00047567599999999996)	(29, 0.008424949999999999)	(30, 0.000146362)	(31, 0.00132977)	(32, 0.00256554)	(33, 0.00288516)	(34, 0.0)	(35, 7.41157e-05)	(36, 0.0)	(37, 0.0)	(38, 0.000383958)	(39, 0.00119356)	(40, 0.00270285)	(41, 0.00811334)	(42, 7.62502e-05)	(43, 0.00187651)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0009392430000000001)	(48, 0.0005019250000000001)	(49, 9.90357e-05)	(50, 4.98248e-05)	(51, 0.000150408)	(52, 1.00992e-05)	(53, 0.0)	(54, 0.000348899)	(55, 0.0010342700000000001)	(56, 0.00580244)	(57, 0.0009372149999999999)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 3.47971e-05)	(68, 9.38294e-05)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 1.30767e-05)	(77, 0.00042410200000000004)	(78, 0.00119618)	(79, 0.0)	(80, 0.0007374889999999999)	(81, 0.0)	(82, 0.00024371200000000001)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000803006)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.0378809)	(3, 0.00256337)	(4, 2.10977e-05)	(5, 0.0)	(6, 5.27442e-05)	(7, 0.000147684)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00017933)	(21, 0.0)	(22, 0.0)	(23, 0.000147684)	(24, 0.0)	(25, 1.05488e-05)	(26, 0.0)	(27, 0.00017933)	(28, 0.000506344)	(29, 0.00830194)	(30, 0.000168781)	(31, 0.00135417)	(32, 0.00284373)	(33, 0.00256418)	(34, 0.0)	(35, 8.55855e-05)	(36, 2.14627e-05)	(37, 1.07775e-05)	(38, 0.00048719400000000004)	(39, 0.0009347240000000001)	(40, 0.00274338)	(41, 0.007980319999999999)	(42, 6.61773e-05)	(43, 0.00227182)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00094091)	(48, 0.000399135)	(49, 9.1815e-05)	(50, 2.3096700000000002e-05)	(51, 0.000139447)	(52, 1.17082e-05)	(53, 0.0)	(54, 0.000321138)	(55, 0.000887025)	(56, 0.00486152)	(57, 0.00120779)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 9.36775e-05)	(68, 8.11407e-05)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.000287735)	(78, 0.00124203)	(79, 0.0)	(80, 0.000806641)	(81, 0.0)	(82, 0.000259833)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0007753179999999999)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.006421380000000001)	(3, 0.00501508)	(4, 0.00613185)	(5, 0.00017578600000000001)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017475200000000002)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.000227488)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 2.24017e-05)	(52, 2.25282e-05)	(53, 1.1328e-05)	(54, 0.00446405)	(55, 0.0016201700000000002)	(56, 0.000937528)	(57, 5.82929e-05)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.00420107)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0006719159999999999)	(74, 0.00097793)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.006909640000000001)	(3, 0.0052493800000000005)	(4, 0.007324710000000001)	(5, 0.000130217)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00185559)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.000252296)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 9.63539e-06)	(51, 1.9475e-05)	(52, 9.848739999999999e-06)	(53, 9.96536e-06)	(54, 0.00398)	(55, 0.00154935)	(56, 0.0008844580000000001)	(57, 6.32947e-05)	(58, 0.0)	(59, 0.0)	(60, 1.09984e-05)	(61, 0.0)	(62, 0.0)	(63, 0.00407348)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 1.27777e-05)	(71, 0.0)	(72, 0.0)	(73, 0.000809181)	(74, 0.00126181)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.0065226699999999995)	(3, 0.00489201)	(4, 0.006732200000000001)	(5, 0.000127538)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00176732)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.00022774699999999999)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 4.94404e-05)	(52, 9.94858e-06)	(53, 0.0)	(54, 0.00466262)	(55, 0.00176839)	(56, 0.00106507)	(57, 6.19087e-05)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0042020600000000005)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 1.16034e-05)	(71, 0.0)	(72, 0.0)	(73, 0.000601293)	(74, 0.00104621)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.00664244)	(3, 0.0053009)	(4, 0.0063958899999999996)	(5, 0.000108774)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00199418)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.000268308)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 8.76895e-06)	(52, 8.8801e-06)	(53, 0.0)	(54, 0.00425692)	(55, 0.00164838)	(56, 0.000921692)	(57, 7.635529999999999e-05)	(58, 0.0)	(59, 0.0)	(60, 9.95007e-06)	(61, 0.0)	(62, 0.0)	(63, 0.00409766)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 1.15161e-05)	(71, 0.0)	(72, 0.0)	(73, 0.0008712680000000001)	(74, 0.0013150899999999999)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.038439600000000004)	(3, 0.0024042200000000003)	(4, 4.87812e-05)	(5, 0.0)	(6, 8.36249e-05)	(7, 0.00014634400000000002)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00016725)	(21, 0.0)	(22, 0.0)	(23, 6.27187e-05)	(24, 0.0)	(25, 0.0)	(26, 1.3937499999999998e-05)	(27, 0.00022996800000000002)	(28, 0.000578405)	(29, 0.00849489)	(30, 0.000104531)	(31, 0.00143313)	(32, 0.00251066)	(33, 0.00272918)	(34, 0.0)	(35, 2.83108e-05)	(36, 0.0)	(37, 0.0)	(38, 0.00027980699999999997)	(39, 0.00100179)	(40, 0.00284482)	(41, 0.00795063)	(42, 5.1345000000000004e-05)	(43, 0.00197707)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0008792030000000001)	(48, 0.000435044)	(49, 0.000107656)	(50, 5.42213e-05)	(51, 9.36302e-05)	(52, 0.0)	(53, 0.0)	(54, 0.000440861)	(55, 0.000962805)	(56, 0.00534704)	(57, 0.0009828130000000001)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 5.51511e-05)	(68, 0.00010228)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.000261728)	(78, 0.00122066)	(79, 0.0)	(80, 0.000790924)	(81, 0.0)	(82, 0.000214869)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000808721)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.0376128)	(3, 0.00254612)	(4, 2.79027e-05)	(5, 0.0)	(6, 9.765929999999999e-05)	(7, 0.00012556200000000002)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0002581)	(21, 0.0)	(22, 6.97567e-06)	(23, 9.068370000000001e-05)	(24, 0.0)	(25, 0.0)	(26, 4.88297e-05)	(27, 0.000279027)	(28, 0.000585956)	(29, 0.00853124)	(30, 0.000181367)	(31, 0.0017553800000000002)	(32, 0.00269204)	(33, 0.00257886)	(34, 7.0421299999999994e-06)	(35, 9.884820000000001e-05)	(36, 7.08117e-06)	(37, 0.0)	(38, 0.00040695)	(39, 0.00106766)	(40, 0.00256597)	(41, 0.00801198)	(42, 9.45212e-05)	(43, 0.0020967399999999997)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0008522000000000001)	(48, 0.000443629)	(49, 0.000105945)	(50, 6.0918800000000004e-05)	(51, 0.000130264)	(52, 0.0)	(53, 0.0)	(54, 0.00042378399999999997)	(55, 0.00102845)	(56, 0.00550073)	(57, 0.0009585609999999999)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 4.42602e-05)	(68, 9.839879999999999e-05)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 9.388950000000001e-06)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.000389371)	(78, 0.00110188)	(79, 0.0)	(80, 0.000657591)	(81, 0.0)	(82, 0.000182314)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000698292)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(1, 0.0)	(2, 0.038046899999999995)	(3, 0.0025171)	(4, 2.4202899999999998e-05)	(5, 0.0)	(6, 4.84057e-05)	(7, 0.000133116)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00020572399999999998)	(21, 0.0)	(22, 0.0)	(23, 7.26086e-05)	(24, 0.0)	(25, 0.0)	(26, 3.63043e-05)	(27, 0.00019362300000000003)	(28, 0.0005929700000000001)	(29, 0.00879774)	(30, 7.26086e-05)	(31, 0.00161431)	(32, 0.00263005)	(33, 0.00285728)	(34, 0.0)	(35, 0.00013511399999999998)	(36, 0.0)	(37, 0.0)	(38, 0.00028596199999999996)	(39, 0.0008738649999999999)	(40, 0.00300208)	(41, 0.00869496)	(42, 5.0729199999999995e-05)	(43, 0.00237068)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0009014050000000001)	(48, 0.000473445)	(49, 0.00011919599999999999)	(50, 4.00089e-05)	(51, 0.000161164)	(52, 1.35392e-05)	(53, 0.0)	(54, 0.00038584299999999997)	(55, 0.00107043)	(56, 0.005406139999999999)	(57, 0.00116315)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 4.73264e-05)	(68, 0.000127732)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.000291881)	(78, 0.00114806)	(79, 0.0)	(80, 0.000691742)	(81, 0.0)	(82, 0.000138744)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0009512960000000001)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
