Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(1, 0.00601322)	(2, 0.0378118)	(3, 0.00254824)	(4, 5.43831e-05)	(5, 0.0)	(6, 7.76902e-05)	(7, 0.000139842)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0008778989999999999)	(21, 0.0)	(22, 0.0)	(23, 0.000196774)	(24, 0.0)	(25, 0.0)	(26, 0.000479482)	(27, 0.0)	(28, 0.00147425)	(29, 0.0085439)	(30, 0.000462025)	(31, 0.00429901)	(32, 0.00123029)	(33, 0.00660742)	(34, 0.0)	(35, 9.0284e-05)	(36, 0.0)	(37, 0.0)	(38, 0.00024893699999999996)	(39, 0.000932767)	(40, 0.00413559)	(41, 0.0082297)	(42, 0.00140186)	(43, 0.00527716)	(44, 0.000946847)	(45, 0.00241917)	(46, 0.0015435699999999998)	(47, 0.003937909999999999)	(48, 0.00138728)	(49, 0.0028362)	(50, 0.0012280400000000001)	(51, 0.0029335900000000002)	(52, 0.0017022)	(53, 0.00256206)	(54, 0.00118268)	(55, 0.00420787)	(56, 0.00836126)	(57, 0.00100755)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.000795954)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 1.14372e-05)	(77, 0.000138956)	(78, 0.00227478)	(79, 0.0)	(80, 0.00073766)	(81, 7.354869999999999e-05)	(82, 0.00017394199999999998)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000885959)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(1, 0.0057217399999999995)	(2, 0.037576200000000004)	(3, 0.00244092)	(4, 4.37442e-05)	(5, 0.0)	(6, 6.124180000000001e-05)	(7, 0.000157479)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000708655)	(21, 0.0)	(22, 0.0)	(23, 0.000159618)	(24, 0.0)	(25, 0.0)	(26, 0.00029731800000000003)	(27, 0.0)	(28, 0.0014448899999999999)	(29, 0.008408529999999999)	(30, 0.000347573)	(31, 0.00406224)	(32, 0.00119528)	(33, 0.00635958)	(34, 0.0)	(35, 7.41073e-05)	(36, 0.0)	(37, 0.0)	(38, 0.000290275)	(39, 0.000902105)	(40, 0.00429001)	(41, 0.0081408)	(42, 0.00140092)	(43, 0.00513103)	(44, 0.0007986409999999999)	(45, 0.00215772)	(46, 0.0015172599999999999)	(47, 0.00398143)	(48, 0.00114147)	(49, 0.00272308)	(50, 0.0012055800000000001)	(51, 0.0028472799999999998)	(52, 0.00159541)	(53, 0.0023384499999999997)	(54, 0.0009439120000000001)	(55, 0.00428109)	(56, 0.008545569999999999)	(57, 0.000968634)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.000668388)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 1.30732e-05)	(77, 0.000145745)	(78, 0.0023244800000000003)	(79, 0.0)	(80, 0.000723338)	(81, 5.64733e-05)	(82, 0.00027228399999999997)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000836369)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(1, 0.00597208)	(2, 0.0379932)	(3, 0.00255089)	(4, 2.0007e-05)	(5, 0.0)	(6, 5.00174e-05)	(7, 0.000150052)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0008202859999999999)	(21, 0.0)	(22, 0.0)	(23, 0.00029497299999999997)	(24, 0.0)	(25, 0.0)	(26, 0.000311027)	(27, 0.0)	(28, 0.00143456)	(29, 0.00827397)	(30, 0.000411358)	(31, 0.00396685)	(32, 0.00135804)	(33, 0.00624479)	(34, 0.0)	(35, 0.000106968)	(36, 0.0)	(37, 0.0)	(38, 0.00043300299999999995)	(39, 0.0008802599999999999)	(40, 0.0041746100000000005)	(41, 0.00801213)	(42, 0.00141158)	(43, 0.00538509)	(44, 0.0008913120000000001)	(45, 0.00205071)	(46, 0.00150969)	(47, 0.00372904)	(48, 0.0011174)	(49, 0.00254745)	(50, 0.00116619)	(51, 0.00264904)	(52, 0.00165055)	(53, 0.0021806499999999997)	(54, 0.000856203)	(55, 0.00388297)	(56, 0.00753266)	(57, 0.00126854)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.000770651)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.000105977)	(78, 0.0021001)	(79, 0.0)	(80, 0.00082219)	(81, 3.20437e-05)	(82, 0.00029220499999999997)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000793523)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(1, 0.0632673)	(2, 0.00643145)	(3, 0.0050582199999999996)	(4, 0.006125189999999999)	(5, 0.000187707)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.001719)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.000217345)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.00474486)	(56, 0.0015970199999999998)	(57, 0.000839293)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.00420036)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.00165672)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(1, 0.06303679999999999)	(2, 0.00697581)	(3, 0.0052094)	(4, 0.00734256)	(5, 0.000127241)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00176641)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.00023202799999999998)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.00429835)	(56, 0.00148768)	(57, 0.0008121249999999999)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 1.11573e-05)	(62, 0.0)	(63, 0.0040840799999999995)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.00209793)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(1, 0.061296699999999996)	(2, 0.00652502)	(3, 0.00486316)	(4, 0.006796170000000001)	(5, 0.000122454)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017318400000000001)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.00021866700000000003)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.00502991)	(56, 0.00173045)	(57, 0.000907841)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.00420126)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0016662499999999998)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(1, 0.0620435)	(2, 0.00670937)	(3, 0.00538733)	(4, 0.006438350000000001)	(5, 0.00011898400000000001)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00189052)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.000257798)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.00461063)	(56, 0.0016172699999999999)	(57, 0.000782461)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 1.00902e-05)	(62, 0.0)	(63, 0.00409668)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.00221168)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(1, 0.00593111)	(2, 0.038331699999999996)	(3, 0.00237639)	(4, 5.26625e-05)	(5, 0.0)	(6, 7.89937e-05)	(7, 0.00014482200000000002)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000882096)	(21, 0.0)	(22, 0.0)	(23, 0.000134122)	(24, 0.0)	(25, 0.0)	(26, 0.000410413)	(27, 0.0)	(28, 0.0015554599999999998)	(29, 0.00847124)	(30, 0.000341434)	(31, 0.003991369999999999)	(32, 0.00130428)	(33, 0.0060485700000000005)	(34, 0.0)	(35, 7.784589999999999e-05)	(36, 0.0)	(37, 0.0)	(38, 0.00023673000000000002)	(39, 0.0008287170000000001)	(40, 0.00436828)	(41, 0.007971500000000001)	(42, 0.0012834600000000002)	(43, 0.00511167)	(44, 0.000816785)	(45, 0.0021685100000000002)	(46, 0.0013621100000000001)	(47, 0.0037285)	(48, 0.00114468)	(49, 0.0026602400000000003)	(50, 0.00113847)	(51, 0.0026446300000000002)	(52, 0.00151031)	(53, 0.00226821)	(54, 0.00104184)	(55, 0.00406891)	(56, 0.00802724)	(57, 0.00113127)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.000780877)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 7.326360000000001e-05)	(78, 0.00233451)	(79, 0.0)	(80, 0.000823621)	(81, 4.45656e-05)	(82, 0.000282623)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000847731)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(1, 0.00598747)	(2, 0.0377004)	(3, 0.00254985)	(4, 3.3375e-05)	(5, 0.0)	(6, 9.345e-05)	(7, 0.00012015)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.00084105)	(21, 0.0)	(22, 0.0)	(23, 0.000189615)	(24, 0.0)	(25, 0.0)	(26, 0.000371344)	(27, 0.0)	(28, 0.0015529899999999998)	(29, 0.008514569999999999)	(30, 0.000348745)	(31, 0.00456629)	(32, 0.00119866)	(33, 0.0061337499999999994)	(34, 0.0)	(35, 0.000112956)	(36, 0.0)	(37, 0.0)	(38, 0.00029982)	(39, 0.0008382569999999999)	(40, 0.004151149999999999)	(41, 0.00805435)	(42, 0.0013013100000000002)	(43, 0.0055150600000000004)	(44, 0.000807982)	(45, 0.00232774)	(46, 0.00137447)	(47, 0.00396887)	(48, 0.00106756)	(49, 0.002966)	(50, 0.00114205)	(51, 0.00296495)	(52, 0.00150559)	(53, 0.00245718)	(54, 0.0010043399999999998)	(55, 0.00438988)	(56, 0.00824562)	(57, 0.00100671)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0007601940000000001)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.00015969999999999998)	(78, 0.00205156)	(79, 0.0)	(80, 0.000678265)	(81, 3.17311e-05)	(82, 0.000214416)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000735076)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(1, 0.006013360000000001)	(2, 0.0381917)	(3, 0.00246731)	(4, 2.29518e-05)	(5, 0.0)	(6, 4.59035e-05)	(7, 0.00012623500000000001)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.000768884)	(21, 0.0)	(22, 0.0)	(23, 0.000198276)	(24, 0.0)	(25, 0.0)	(26, 0.000332884)	(27, 0.0)	(28, 0.00160932)	(29, 0.00880331)	(30, 0.00029040500000000004)	(31, 0.00434483)	(32, 0.00129054)	(33, 0.00637327)	(34, 0.0)	(35, 0.000147381)	(36, 0.0)	(37, 0.0)	(38, 0.000261066)	(39, 0.00081135)	(40, 0.00458423)	(41, 0.008744390000000001)	(42, 0.00134416)	(43, 0.00592596)	(44, 0.000730707)	(45, 0.00232189)	(46, 0.00133645)	(47, 0.0042712900000000005)	(48, 0.00110455)	(49, 0.00295297)	(50, 0.00106675)	(51, 0.00308852)	(52, 0.00158383)	(53, 0.0025645)	(54, 0.000895556)	(55, 0.00453118)	(56, 0.008213149999999999)	(57, 0.00126223)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0009098980000000001)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.000127664)	(78, 0.00236955)	(79, 0.0)	(80, 0.000749164)	(81, 9.754729999999999e-05)	(82, 0.00019813899999999998)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.000974124)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)
