Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(1, 36.6904)	(2, 36.7072)	(3, 36.7768)	(4, 36.7661)	(5, 36.7762)	(6, 36.7956)	(7, 24.5336)	(8, 36.7916)	(9, 23.5212)	(10, 36.8052)	(11, 36.7909)	(12, 36.7773)	(13, 36.7761)	(14, 36.7628)	(15, 36.7764)	(16, 36.7755)	(17, 36.7691)	(18, 36.7671)	(19, 36.7621)	(20, 36.7478)	(21, 36.7461)	(22, 36.7241)	(23, 36.6943)	(24, 36.6903)	(25, 36.6908)	(26, 36.6633)	(27, 36.6634)	(28, 36.657)	(29, 36.645)	(30, 36.649)	(31, 36.649)	(32, 36.66)	(33, 36.6538)	(34, 36.6542)	(35, 36.6359)	(36, 36.6328)	(37, 36.6198)	(38, 36.6117)	(39, 36.6313)	(40, 36.617)	(41, 36.6151)	(42, 36.622)	(43, 36.6164)	(44, 36.6045)	(45, 36.5885)	(46, 36.5878)	(47, 36.6041)	(48, 36.6118)	(49, 36.5978)	(50, 36.5704)	(51, 36.5757)	(52, 36.576)	(53, 36.5704)	(54, 36.5763)	(55, 36.5563)	(56, 36.5539)	(57, 36.5461)	(58, 36.5591)	(59, 36.5534)	(60, 36.5504)	(61, 36.509)	(62, 36.4913)	(63, 36.4929)	(64, 36.4885)	(65, 36.4507)	(66, 36.4674)	(67, 36.4702)	(68, 36.4557)	(69, 36.453)	(70, 36.4632)	(71, 36.4714)	(72, 36.4489)	(73, 36.4476)	(74, 36.4348)	(75, 36.4218)	(76, 36.4139)	(77, 36.3849)	(78, 36.3885)	(79, 36.3876)	(80, 36.3455)	(81, 36.3536)	(82, 36.3441)	(83, 36.3317)	(84, 36.3244)	(85, 36.3322)	(86, 36.2797)	(87, 36.2718)	(88, 36.2268)	(89, 36.2435)	(90, 36.2298)	(91, 36.209)	(92, 36.1937)	(93, 36.2267)	(94, 36.2048)	(95, 36.1742)	(96, 36.1608)	(97, 36.1259)	(98, 36.0756)	(99, 36.0067)	(100, 35.8272)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(1, 36.6886)	(2, 36.7034)	(3, 36.7717)	(4, 36.7621)	(5, 36.7723)	(6, 36.7924)	(7, 24.5449)	(8, 36.7742)	(9, 23.5505)	(10, 36.8051)	(11, 36.7873)	(12, 36.7716)	(13, 36.7684)	(14, 36.7591)	(15, 36.7724)	(16, 36.7748)	(17, 36.7682)	(18, 36.7616)	(19, 36.7574)	(20, 36.739)	(21, 36.7405)	(22, 36.714)	(23, 36.6839)	(24, 36.6814)	(25, 36.6833)	(26, 36.6564)	(27, 36.6563)	(28, 36.6492)	(29, 36.6374)	(30, 36.6376)	(31, 36.628)	(32, 36.6385)	(33, 36.6325)	(34, 36.6418)	(35, 36.6078)	(36, 36.5953)	(37, 36.5815)	(38, 36.567)	(39, 36.5947)	(40, 36.5714)	(41, 36.5864)	(42, 36.6013)	(43, 36.5938)	(44, 36.5764)	(45, 36.5601)	(46, 36.5578)	(47, 36.5748)	(48, 36.5851)	(49, 36.5735)	(50, 36.5501)	(51, 36.5562)	(52, 36.5582)	(53, 36.5579)	(54, 36.5555)	(55, 36.5334)	(56, 36.5133)	(57, 36.509)	(58, 36.5224)	(59, 36.5233)	(60, 36.496)	(61, 36.4415)	(62, 36.4236)	(63, 36.4296)	(64, 36.4419)	(65, 36.3817)	(66, 36.4423)	(67, 36.4465)	(68, 36.4334)	(69, 36.4212)	(70, 36.4291)	(71, 36.439)	(72, 36.4198)	(73, 36.4219)	(74, 36.4064)	(75, 36.3999)	(76, 36.3871)	(77, 36.3616)	(78, 36.3684)	(79, 36.3655)	(80, 36.3196)	(81, 36.331)	(82, 36.326)	(83, 36.3153)	(84, 36.3072)	(85, 36.3149)	(86, 36.2511)	(87, 36.2451)	(88, 36.1978)	(89, 36.2195)	(90, 36.2109)	(91, 36.1915)	(92, 36.171)	(93, 36.2075)	(94, 36.1827)	(95, 36.1549)	(96, 36.1341)	(97, 36.1053)	(98, 36.043)	(99, 35.9782)	(100, 35.8079)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(1, 36.6774)	(2, 36.6967)	(3, 36.7636)	(4, 36.7574)	(5, 36.7686)	(6, 36.792)	(7, 24.8942)	(8, 36.7852)	(9, 23.6034)	(10, 36.8104)	(11, 36.7914)	(12, 36.7738)	(13, 36.7751)	(14, 36.763)	(15, 36.7771)	(16, 36.7774)	(17, 36.7764)	(18, 36.7666)	(19, 36.7642)	(20, 36.7464)	(21, 36.7455)	(22, 36.7235)	(23, 36.6961)	(24, 36.6931)	(25, 36.693)	(26, 36.6653)	(27, 36.6673)	(28, 36.66)	(29, 36.6482)	(30, 36.6503)	(31, 36.6486)	(32, 36.6586)	(33, 36.6528)	(34, 36.6574)	(35, 36.629)	(36, 36.6192)	(37, 36.6051)	(38, 36.5931)	(39, 36.6177)	(40, 36.5988)	(41, 36.6061)	(42, 36.6199)	(43, 36.6113)	(44, 36.5999)	(45, 36.5816)	(46, 36.5812)	(47, 36.5987)	(48, 36.6083)	(49, 36.5962)	(50, 36.5685)	(51, 36.574)	(52, 36.5749)	(53, 36.5698)	(54, 36.574)	(55, 36.552)	(56, 36.5394)	(57, 36.5337)	(58, 36.5446)	(59, 36.5403)	(60, 36.518)	(61, 36.4672)	(62, 36.446)	(63, 36.4551)	(64, 36.4663)	(65, 36.4125)	(66, 36.4629)	(67, 36.4627)	(68, 36.4476)	(69, 36.4395)	(70, 36.4467)	(71, 36.4571)	(72, 36.4385)	(73, 36.4385)	(74, 36.4248)	(75, 36.4142)	(76, 36.4038)	(77, 36.3761)	(78, 36.3788)	(79, 36.3783)	(80, 36.3344)	(81, 36.3449)	(82, 36.3381)	(83, 36.3224)	(84, 36.317)	(85, 36.3227)	(86, 36.2703)	(87, 36.2663)	(88, 36.2216)	(89, 36.231)	(90, 36.2154)	(91, 36.1932)	(92, 36.1771)	(93, 36.2129)	(94, 36.1859)	(95, 36.1534)	(96, 36.1374)	(97, 36.1022)	(98, 36.056)	(99, 35.9859)	(100, 35.8182)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(1, 36.589)	(2, 36.6891)	(3, 36.7383)	(4, 36.757)	(5, 36.7944)	(6, 36.8032)	(7, 25.6832)	(8, 36.611)	(9, 24.3191)	(10, 36.6655)	(11, 36.7986)	(12, 36.7835)	(13, 36.7957)	(14, 36.7889)	(15, 36.7936)	(16, 36.7894)	(17, 36.7933)	(18, 36.7885)	(19, 36.7793)	(20, 36.7745)	(21, 36.7602)	(22, 36.7619)	(23, 36.7324)	(24, 36.717)	(25, 36.7144)	(26, 36.7063)	(27, 36.6929)	(28, 36.6986)	(29, 36.6823)	(30, 36.6754)	(31, 36.6647)	(32, 36.6701)	(33, 36.6572)	(34, 36.671)	(35, 36.6355)	(36, 36.6309)	(37, 36.6003)	(38, 36.5987)	(39, 36.6094)	(40, 36.5864)	(41, 36.6224)	(42, 36.629)	(43, 36.6353)	(44, 36.6169)	(45, 36.5892)	(46, 36.5896)	(47, 36.5851)	(48, 36.583)	(49, 36.5816)	(50, 36.6128)	(51, 36.6065)	(52, 36.5979)	(53, 36.5974)	(54, 36.5612)	(55, 36.5608)	(56, 36.5794)	(57, 36.5512)	(58, 36.5537)	(59, 36.5451)	(60, 36.5399)	(61, 36.4954)	(62, 36.4505)	(63, 36.4271)	(64, 36.4837)	(65, 36.4493)	(66, 36.4849)	(67, 36.4881)	(68, 36.4528)	(69, 36.4846)	(70, 36.4633)	(71, 36.4828)	(72, 36.4401)	(73, 36.4852)	(74, 36.4503)	(75, 36.4092)	(76, 36.3741)	(77, 36.3574)	(78, 36.3616)	(79, 36.3802)	(80, 36.3484)	(81, 36.3319)	(82, 36.2935)	(83, 36.2615)	(84, 36.3115)	(85, 36.2608)	(86, 36.1925)	(87, 36.2035)	(88, 36.2531)	(89, 36.1845)	(90, 36.1929)	(91, 36.1867)	(92, 36.1414)	(93, 36.1449)	(94, 36.1472)	(95, 36.1433)	(96, 36.0105)	(97, 36.0931)	(98, 36.0596)	(99, 35.9768)	(100, 34.078)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(1, 36.6078)	(2, 36.7028)	(3, 36.7497)	(4, 36.7673)	(5, 36.8027)	(6, 36.8094)	(7, 25.5829)	(8, 36.604)	(9, 24.5451)	(10, 36.6509)	(11, 36.8005)	(12, 36.784)	(13, 36.7933)	(14, 36.7894)	(15, 36.7947)	(16, 36.7896)	(17, 36.7945)	(18, 36.7893)	(19, 36.777)	(20, 36.7671)	(21, 36.7566)	(22, 36.7555)	(23, 36.7299)	(24, 36.7083)	(25, 36.7065)	(26, 36.6948)	(27, 36.6767)	(28, 36.6744)	(29, 36.6566)	(30, 36.6489)	(31, 36.6361)	(32, 36.6451)	(33, 36.6295)	(34, 36.6429)	(35, 36.5826)	(36, 36.568)	(37, 36.5308)	(38, 36.5156)	(39, 36.5463)	(40, 36.5129)	(41, 36.5834)	(42, 36.5927)	(43, 36.603)	(44, 36.5795)	(45, 36.542)	(46, 36.537)	(47, 36.5358)	(48, 36.5378)	(49, 36.5448)	(50, 36.5816)	(51, 36.5795)	(52, 36.5655)	(53, 36.5666)	(54, 36.5281)	(55, 36.5292)	(56, 36.5453)	(57, 36.5211)	(58, 36.5173)	(59, 36.5161)	(60, 36.4924)	(61, 36.4379)	(62, 36.3854)	(63, 36.3644)	(64, 36.439)	(65, 36.3824)	(66, 36.4572)	(67, 36.4568)	(68, 36.4212)	(69, 36.4515)	(70, 36.423)	(71, 36.4529)	(72, 36.4114)	(73, 36.4737)	(74, 36.4379)	(75, 36.3992)	(76, 36.3595)	(77, 36.342)	(78, 36.3437)	(79, 36.3635)	(80, 36.3361)	(81, 36.3144)	(82, 36.2775)	(83, 36.2444)	(84, 36.291)	(85, 36.2439)	(86, 36.1764)	(87, 36.1764)	(88, 36.2353)	(89, 36.1672)	(90, 36.164)	(91, 36.152)	(92, 36.1017)	(93, 36.1264)	(94, 36.1266)	(95, 36.1259)	(96, 35.9908)	(97, 36.0777)	(98, 36.0437)	(99, 35.9574)	(100, 34.0557)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(1, 36.5842)	(2, 36.6878)	(3, 36.738)	(4, 36.7572)	(5, 36.7953)	(6, 36.8055)	(7, 25.3708)	(8, 36.6146)	(9, 24.0133)	(10, 36.6657)	(11, 36.7975)	(12, 36.7836)	(13, 36.797)	(14, 36.791)	(15, 36.7943)	(16, 36.7916)	(17, 36.7969)	(18, 36.7923)	(19, 36.7822)	(20, 36.7758)	(21, 36.7599)	(22, 36.7607)	(23, 36.7317)	(24, 36.7142)	(25, 36.7138)	(26, 36.7066)	(27, 36.6897)	(28, 36.6979)	(29, 36.6846)	(30, 36.6771)	(31, 36.6691)	(32, 36.6727)	(33, 36.6619)	(34, 36.675)	(35, 36.6401)	(36, 36.6359)	(37, 36.607)	(38, 36.602)	(39, 36.612)	(40, 36.5899)	(41, 36.6274)	(42, 36.6287)	(43, 36.6405)	(44, 36.6222)	(45, 36.5956)	(46, 36.5935)	(47, 36.5862)	(48, 36.5838)	(49, 36.5839)	(50, 36.6143)	(51, 36.6076)	(52, 36.5969)	(53, 36.5971)	(54, 36.5605)	(55, 36.5641)	(56, 36.5777)	(57, 36.5544)	(58, 36.5478)	(59, 36.543)	(60, 36.5427)	(61, 36.4982)	(62, 36.4511)	(63, 36.4254)	(64, 36.4824)	(65, 36.4456)	(66, 36.4877)	(67, 36.4885)	(68, 36.4589)	(69, 36.4874)	(70, 36.4689)	(71, 36.4839)	(72, 36.4398)	(73, 36.4906)	(74, 36.456)	(75, 36.4157)	(76, 36.3799)	(77, 36.3565)	(78, 36.365)	(79, 36.3867)	(80, 36.3569)	(81, 36.3353)	(82, 36.2964)	(83, 36.2588)	(84, 36.3048)	(85, 36.257)	(86, 36.1901)	(87, 36.2017)	(88, 36.2527)	(89, 36.1946)	(90, 36.1964)	(91, 36.1896)	(92, 36.1518)	(93, 36.1558)	(94, 36.1556)	(95, 36.1539)	(96, 36.0212)	(97, 36.1035)	(98, 36.0728)	(99, 35.9861)	(100, 34.0344)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(1, 36.6133)	(2, 36.7029)	(3, 36.7502)	(4, 36.768)	(5, 36.8042)	(6, 36.8134)	(7, 25.2866)	(8, 36.6134)	(9, 23.982)	(10, 36.656)	(11, 36.7975)	(12, 36.7848)	(13, 36.7952)	(14, 36.7911)	(15, 36.795)	(16, 36.7917)	(17, 36.7951)	(18, 36.7904)	(19, 36.7782)	(20, 36.7714)	(21, 36.7616)	(22, 36.7591)	(23, 36.7314)	(24, 36.7137)	(25, 36.7102)	(26, 36.6978)	(27, 36.6794)	(28, 36.6759)	(29, 36.6597)	(30, 36.6532)	(31, 36.6386)	(32, 36.6487)	(33, 36.6335)	(34, 36.6458)	(35, 36.601)	(36, 36.5907)	(37, 36.5553)	(38, 36.546)	(39, 36.5687)	(40, 36.536)	(41, 36.5897)	(42, 36.6015)	(43, 36.6072)	(44, 36.5822)	(45, 36.5519)	(46, 36.5444)	(47, 36.5392)	(48, 36.5385)	(49, 36.5441)	(50, 36.586)	(51, 36.577)	(52, 36.5683)	(53, 36.5695)	(54, 36.5348)	(55, 36.5402)	(56, 36.5584)	(57, 36.5367)	(58, 36.5341)	(59, 36.5275)	(60, 36.5202)	(61, 36.4723)	(62, 36.4215)	(63, 36.3947)	(64, 36.4598)	(65, 36.4092)	(66, 36.4655)	(67, 36.4663)	(68, 36.4359)	(69, 36.4668)	(70, 36.4431)	(71, 36.4676)	(72, 36.4195)	(73, 36.4808)	(74, 36.4481)	(75, 36.4029)	(76, 36.3666)	(77, 36.3442)	(78, 36.3524)	(79, 36.3713)	(80, 36.346)	(81, 36.3182)	(82, 36.2848)	(83, 36.2411)	(84, 36.2953)	(85, 36.2471)	(86, 36.1837)	(87, 36.1853)	(88, 36.2439)	(89, 36.1738)	(90, 36.1777)	(91, 36.1756)	(92, 36.1267)	(93, 36.1381)	(94, 36.1341)	(95, 36.135)	(96, 36.0049)	(97, 36.0844)	(98, 36.0543)	(99, 35.9755)	(100, 34.0711)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(1, 36.6795)	(2, 36.7025)	(3, 36.7748)	(4, 36.7666)	(5, 36.7816)	(6, 36.8015)	(7, 24.522)	(8, 36.7878)	(9, 23.5405)	(10, 36.8117)	(11, 36.7904)	(12, 36.7779)	(13, 36.7771)	(14, 36.7672)	(15, 36.7831)	(16, 36.7821)	(17, 36.7783)	(18, 36.7696)	(19, 36.7631)	(20, 36.7447)	(21, 36.7454)	(22, 36.7212)	(23, 36.6908)	(24, 36.6895)	(25, 36.6924)	(26, 36.6633)	(27, 36.6613)	(28, 36.6554)	(29, 36.6434)	(30, 36.6452)	(31, 36.6399)	(32, 36.6482)	(33, 36.6394)	(34, 36.6484)	(35, 36.6135)	(36, 36.6017)	(37, 36.5813)	(38, 36.5661)	(39, 36.597)	(40, 36.575)	(41, 36.5962)	(42, 36.6113)	(43, 36.5997)	(44, 36.5864)	(45, 36.5668)	(46, 36.5604)	(47, 36.5765)	(48, 36.5865)	(49, 36.5788)	(50, 36.5542)	(51, 36.5604)	(52, 36.5634)	(53, 36.5685)	(54, 36.5702)	(55, 36.5444)	(56, 36.5174)	(57, 36.5145)	(58, 36.5246)	(59, 36.5203)	(60, 36.492)	(61, 36.4381)	(62, 36.4254)	(63, 36.4323)	(64, 36.449)	(65, 36.3891)	(66, 36.4497)	(67, 36.452)	(68, 36.4348)	(69, 36.4195)	(70, 36.4198)	(71, 36.4355)	(72, 36.4216)	(73, 36.4314)	(74, 36.4216)	(75, 36.4154)	(76, 36.3985)	(77, 36.3662)	(78, 36.3686)	(79, 36.3678)	(80, 36.3254)	(81, 36.3357)	(82, 36.327)	(83, 36.318)	(84, 36.3103)	(85, 36.3203)	(86, 36.2671)	(87, 36.2574)	(88, 36.2095)	(89, 36.2277)	(90, 36.2071)	(91, 36.1856)	(92, 36.1711)	(93, 36.2107)	(94, 36.1857)	(95, 36.1571)	(96, 36.1423)	(97, 36.1092)	(98, 36.0577)	(99, 35.9877)	(100, 35.8208)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(1, 36.6615)	(2, 36.6878)	(3, 36.763)	(4, 36.756)	(5, 36.7709)	(6, 36.793)	(7, 24.7028)	(8, 36.7699)	(9, 23.5131)	(10, 36.7726)	(11, 36.7727)	(12, 36.7621)	(13, 36.7607)	(14, 36.7508)	(15, 36.7664)	(16, 36.7623)	(17, 36.761)	(18, 36.7522)	(19, 36.7446)	(20, 36.7272)	(21, 36.7241)	(22, 36.7012)	(23, 36.6674)	(24, 36.6651)	(25, 36.6658)	(26, 36.6371)	(27, 36.6351)	(28, 36.6253)	(29, 36.6162)	(30, 36.6214)	(31, 36.6195)	(32, 36.6304)	(33, 36.6239)	(34, 36.6249)	(35, 36.5967)	(36, 36.5847)	(37, 36.5671)	(38, 36.5567)	(39, 36.588)	(40, 36.5688)	(41, 36.5826)	(42, 36.5938)	(43, 36.5858)	(44, 36.5725)	(45, 36.5556)	(46, 36.5477)	(47, 36.5637)	(48, 36.5713)	(49, 36.5624)	(50, 36.5367)	(51, 36.5452)	(52, 36.5431)	(53, 36.5436)	(54, 36.5464)	(55, 36.5242)	(56, 36.5118)	(57, 36.5069)	(58, 36.5139)	(59, 36.5148)	(60, 36.4921)	(61, 36.4408)	(62, 36.4219)	(63, 36.4245)	(64, 36.4351)	(65, 36.3742)	(66, 36.4297)	(67, 36.4255)	(68, 36.4139)	(69, 36.4065)	(70, 36.412)	(71, 36.4236)	(72, 36.4104)	(73, 36.4163)	(74, 36.4028)	(75, 36.3916)	(76, 36.3784)	(77, 36.3457)	(78, 36.3471)	(79, 36.3449)	(80, 36.307)	(81, 36.3133)	(82, 36.307)	(83, 36.2942)	(84, 36.2873)	(85, 36.2973)	(86, 36.237)	(87, 36.226)	(88, 36.1898)	(89, 36.2029)	(90, 36.1888)	(91, 36.1614)	(92, 36.139)	(93, 36.1854)	(94, 36.1621)	(95, 36.1395)	(96, 36.1236)	(97, 36.0852)	(98, 36.0387)	(99, 35.9639)	(100, 35.7752)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(1, 36.6746)	(2, 36.6932)	(3, 36.7657)	(4, 36.7571)	(5, 36.7696)	(6, 36.7916)	(7, 24.2036)	(8, 36.7746)	(9, 23.5786)	(10, 36.8013)	(11, 36.7775)	(12, 36.7635)	(13, 36.76)	(14, 36.7491)	(15, 36.7639)	(16, 36.765)	(17, 36.7647)	(18, 36.7546)	(19, 36.7508)	(20, 36.7355)	(21, 36.7354)	(22, 36.7112)	(23, 36.6822)	(24, 36.6802)	(25, 36.6801)	(26, 36.6503)	(27, 36.6499)	(28, 36.6447)	(29, 36.6338)	(30, 36.6378)	(31, 36.637)	(32, 36.6485)	(33, 36.6428)	(34, 36.6443)	(35, 36.6127)	(36, 36.6036)	(37, 36.5863)	(38, 36.5758)	(39, 36.6019)	(40, 36.5848)	(41, 36.5922)	(42, 36.6062)	(43, 36.6005)	(44, 36.5861)	(45, 36.5641)	(46, 36.5649)	(47, 36.5855)	(48, 36.5894)	(49, 36.579)	(50, 36.5511)	(51, 36.5593)	(52, 36.5618)	(53, 36.5632)	(54, 36.5651)	(55, 36.5421)	(56, 36.5341)	(57, 36.5227)	(58, 36.5339)	(59, 36.5297)	(60, 36.5143)	(61, 36.461)	(62, 36.4376)	(63, 36.4467)	(64, 36.4552)	(65, 36.4031)	(66, 36.4485)	(67, 36.4501)	(68, 36.4343)	(69, 36.4219)	(70, 36.4259)	(71, 36.4428)	(72, 36.4246)	(73, 36.4208)	(74, 36.4125)	(75, 36.4038)	(76, 36.387)	(77, 36.3646)	(78, 36.3648)	(79, 36.3597)	(80, 36.3135)	(81, 36.3247)	(82, 36.3186)	(83, 36.3101)	(84, 36.3025)	(85, 36.3083)	(86, 36.2497)	(87, 36.2429)	(88, 36.1894)	(89, 36.2075)	(90, 36.1963)	(91, 36.1742)	(92, 36.1563)	(93, 36.1965)	(94, 36.1716)	(95, 36.1453)	(96, 36.1243)	(97, 36.0909)	(98, 36.0336)	(99, 35.9686)	(100, 35.7891)
