Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(1, 36.6828)	(2, 36.7026)	(3, 36.773)	(4, 36.7612)	(5, 36.7759)	(6, 36.7931)	(7, 24.5395)	(8, 36.7926)	(9, 23.5169)	(10, 36.8034)	(11, 36.7894)	(12, 36.7755)	(13, 36.7734)	(14, 36.7602)	(15, 36.774)	(16, 36.7726)	(17, 36.7666)	(18, 36.7638)	(19, 36.7587)	(20, 36.7435)	(21, 36.7425)	(22, 36.7208)	(23, 36.6906)	(24, 36.6868)	(25, 36.6881)	(26, 36.6605)	(27, 36.6613)	(28, 36.6547)	(29, 36.6434)	(30, 36.6475)	(31, 36.6465)	(32, 36.6591)	(33, 36.6509)	(34, 36.6527)	(35, 36.6343)	(36, 36.6311)	(37, 36.6181)	(38, 36.6098)	(39, 36.6293)	(40, 36.6147)	(41, 36.6131)	(42, 36.6196)	(43, 36.6132)	(44, 36.6021)	(45, 36.5856)	(46, 36.5853)	(47, 36.601)	(48, 36.6094)	(49, 36.5945)	(50, 36.5677)	(51, 36.5724)	(52, 36.5729)	(53, 36.5668)	(54, 36.5733)	(55, 36.5521)	(56, 36.5499)	(57, 36.5432)	(58, 36.5563)	(59, 36.5505)	(60, 36.5475)	(61, 36.5058)	(62, 36.4884)	(63, 36.4898)	(64, 36.4856)	(65, 36.4477)	(66, 36.4642)	(67, 36.4671)	(68, 36.4522)	(69, 36.4496)	(70, 36.4596)	(71, 36.4676)	(72, 36.445)	(73, 36.4439)	(74, 36.4309)	(75, 36.4177)	(76, 36.4098)	(77, 36.3807)	(78, 36.3834)	(79, 36.3828)	(80, 36.3403)	(81, 36.3481)	(82, 36.3383)	(83, 36.3253)	(84, 36.3176)	(85, 36.3246)	(86, 36.2713)	(87, 36.2628)	(88, 36.2171)	(89, 36.2323)	(90, 36.2172)	(91, 36.1951)	(92, 36.1777)	(93, 36.2092)	(94, 36.1858)	(95, 36.1518)	(96, 36.1351)	(97, 36.0886)	(98, 36.0374)	(99, 35.9684)	(100, 35.7898)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(1, 36.6799)	(2, 36.6977)	(3, 36.7666)	(4, 36.7568)	(5, 36.7719)	(6, 36.7895)	(7, 24.5532)	(8, 36.7745)	(9, 23.5512)	(10, 36.8028)	(11, 36.7848)	(12, 36.769)	(13, 36.7646)	(14, 36.7555)	(15, 36.7687)	(16, 36.7707)	(17, 36.7646)	(18, 36.7575)	(19, 36.7536)	(20, 36.7346)	(21, 36.7366)	(22, 36.7107)	(23, 36.6799)	(24, 36.6779)	(25, 36.6803)	(26, 36.6536)	(27, 36.6539)	(28, 36.647)	(29, 36.6358)	(30, 36.636)	(31, 36.6255)	(32, 36.6375)	(33, 36.6299)	(34, 36.6402)	(35, 36.606)	(36, 36.5934)	(37, 36.5797)	(38, 36.5652)	(39, 36.5929)	(40, 36.5689)	(41, 36.5846)	(42, 36.599)	(43, 36.5907)	(44, 36.574)	(45, 36.5573)	(46, 36.555)	(47, 36.5716)	(48, 36.5827)	(49, 36.5701)	(50, 36.5473)	(51, 36.5527)	(52, 36.5551)	(53, 36.5542)	(54, 36.5525)	(55, 36.5293)	(56, 36.5094)	(57, 36.5063)	(58, 36.5194)	(59, 36.5204)	(60, 36.4929)	(61, 36.4383)	(62, 36.4206)	(63, 36.4263)	(64, 36.4388)	(65, 36.3783)	(66, 36.4388)	(67, 36.4431)	(68, 36.4295)	(69, 36.4176)	(70, 36.4252)	(71, 36.4351)	(72, 36.4157)	(73, 36.4178)	(74, 36.4021)	(75, 36.3954)	(76, 36.3825)	(77, 36.357)	(78, 36.3631)	(79, 36.3602)	(80, 36.3141)	(81, 36.3249)	(82, 36.3196)	(83, 36.3085)	(84, 36.2996)	(85, 36.3066)	(86, 36.242)	(87, 36.2351)	(88, 36.1873)	(89, 36.207)	(90, 36.1967)	(91, 36.1762)	(92, 36.1538)	(93, 36.1884)	(94, 36.1617)	(95, 36.1308)	(96, 36.1057)	(97, 36.0644)	(98, 36.0009)	(99, 35.9361)	(100, 35.7668)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(1, 36.6691)	(2, 36.6913)	(3, 36.7589)	(4, 36.7519)	(5, 36.7681)	(6, 36.7877)	(7, 24.9032)	(8, 36.7846)	(9, 23.599)	(10, 36.8065)	(11, 36.7886)	(12, 36.771)	(13, 36.7702)	(14, 36.7587)	(15, 36.7734)	(16, 36.7732)	(17, 36.7724)	(18, 36.762)	(19, 36.7594)	(20, 36.7409)	(21, 36.7404)	(22, 36.7186)	(23, 36.6909)	(24, 36.6887)	(25, 36.6891)	(26, 36.6619)	(27, 36.6643)	(28, 36.6573)	(29, 36.6462)	(30, 36.6484)	(31, 36.6459)	(32, 36.6574)	(33, 36.6495)	(34, 36.6554)	(35, 36.627)	(36, 36.6173)	(37, 36.6029)	(38, 36.591)	(39, 36.6154)	(40, 36.5961)	(41, 36.6038)	(42, 36.6172)	(43, 36.6079)	(44, 36.5972)	(45, 36.5784)	(46, 36.5782)	(47, 36.5951)	(48, 36.6052)	(49, 36.5925)	(50, 36.5653)	(51, 36.5702)	(52, 36.5713)	(53, 36.5659)	(54, 36.5704)	(55, 36.5476)	(56, 36.5352)	(57, 36.5302)	(58, 36.5413)	(59, 36.5369)	(60, 36.5147)	(61, 36.4637)	(62, 36.4424)	(63, 36.4515)	(64, 36.4625)	(65, 36.4087)	(66, 36.4591)	(67, 36.4587)	(68, 36.4433)	(69, 36.4354)	(70, 36.4425)	(71, 36.4528)	(72, 36.4342)	(73, 36.4338)	(74, 36.4201)	(75, 36.4094)	(76, 36.3989)	(77, 36.371)	(78, 36.3732)	(79, 36.3726)	(80, 36.3286)	(81, 36.3387)	(82, 36.3316)	(83, 36.3153)	(84, 36.3092)	(85, 36.3142)	(86, 36.2611)	(87, 36.2564)	(88, 36.2115)	(89, 36.2194)	(90, 36.2022)	(91, 36.1789)	(92, 36.1607)	(93, 36.1951)	(94, 36.1664)	(95, 36.1314)	(96, 36.1116)	(97, 36.065)	(98, 36.0181)	(99, 35.9478)	(100, 35.7813)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(1, 36.5518)	(2, 36.6781)	(3, 36.73)	(4, 36.7487)	(5, 36.7958)	(6, 36.8065)	(7, 25.6995)	(8, 36.6153)	(9, 24.313)	(10, 36.6621)	(11, 36.7984)	(12, 36.7821)	(13, 36.7932)	(14, 36.7865)	(15, 36.7913)	(16, 36.7869)	(17, 36.7908)	(18, 36.7854)	(19, 36.7767)	(20, 36.7713)	(21, 36.7573)	(22, 36.7595)	(23, 36.7297)	(24, 36.714)	(25, 36.7114)	(26, 36.7038)	(27, 36.6902)	(28, 36.6965)	(29, 36.6804)	(30, 36.674)	(31, 36.6631)	(32, 36.6685)	(33, 36.6555)	(34, 36.6691)	(35, 36.6337)	(36, 36.629)	(37, 36.5984)	(38, 36.5968)	(39, 36.6075)	(40, 36.5844)	(41, 36.6203)	(42, 36.6268)	(43, 36.6333)	(44, 36.6151)	(45, 36.5873)	(46, 36.5874)	(47, 36.5829)	(48, 36.5806)	(49, 36.579)	(50, 36.6106)	(51, 36.604)	(52, 36.5952)	(53, 36.595)	(54, 36.5601)	(55, 36.5567)	(56, 36.5761)	(57, 36.5481)	(58, 36.5504)	(59, 36.5423)	(60, 36.5371)	(61, 36.4924)	(62, 36.4473)	(63, 36.4237)	(64, 36.4805)	(65, 36.4461)	(66, 36.4818)	(67, 36.485)	(68, 36.4492)	(69, 36.4809)	(70, 36.4597)	(71, 36.4792)	(72, 36.4364)	(73, 36.482)	(74, 36.4462)	(75, 36.4052)	(76, 36.37)	(77, 36.3533)	(78, 36.3575)	(79, 36.3763)	(80, 36.3437)	(81, 36.3275)	(82, 36.289)	(83, 36.2565)	(84, 36.3065)	(85, 36.2552)	(86, 36.1867)	(87, 36.1972)	(88, 36.2471)	(89, 36.1781)	(90, 36.1863)	(91, 36.1792)	(92, 36.133)	(93, 36.1356)	(94, 36.1366)	(95, 36.1317)	(96, 35.9989)	(97, 36.062)	(98, 36.0291)	(99, 35.9463)	(100, 34.0443)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(1, 36.5717)	(2, 36.6924)	(3, 36.7422)	(4, 36.7597)	(5, 36.8037)	(6, 36.8099)	(7, 25.6185)	(8, 36.6076)	(9, 24.5411)	(10, 36.6431)	(11, 36.7988)	(12, 36.7804)	(13, 36.7891)	(14, 36.7846)	(15, 36.7905)	(16, 36.7847)	(17, 36.7905)	(18, 36.7848)	(19, 36.7726)	(20, 36.763)	(21, 36.7527)	(22, 36.7523)	(23, 36.726)	(24, 36.7044)	(25, 36.7027)	(26, 36.691)	(27, 36.6728)	(28, 36.6717)	(29, 36.6543)	(30, 36.6472)	(31, 36.6345)	(32, 36.6434)	(33, 36.6276)	(34, 36.6409)	(35, 36.5805)	(36, 36.5658)	(37, 36.5286)	(38, 36.5132)	(39, 36.5437)	(40, 36.5104)	(41, 36.581)	(42, 36.5901)	(43, 36.6006)	(44, 36.5771)	(45, 36.5396)	(46, 36.5345)	(47, 36.5329)	(48, 36.5349)	(49, 36.5416)	(50, 36.5784)	(51, 36.5764)	(52, 36.5623)	(53, 36.5636)	(54, 36.5261)	(55, 36.5247)	(56, 36.5418)	(57, 36.5173)	(58, 36.5141)	(59, 36.5127)	(60, 36.4891)	(61, 36.4341)	(62, 36.3816)	(63, 36.3605)	(64, 36.4352)	(65, 36.3784)	(66, 36.4531)	(67, 36.4528)	(68, 36.4167)	(69, 36.4469)	(70, 36.4186)	(71, 36.4485)	(72, 36.4072)	(73, 36.4696)	(74, 36.4335)	(75, 36.3947)	(76, 36.3547)	(77, 36.3372)	(78, 36.3388)	(79, 36.3589)	(80, 36.3309)	(81, 36.3091)	(82, 36.2724)	(83, 36.2385)	(84, 36.285)	(85, 36.2379)	(86, 36.1695)	(87, 36.1695)	(88, 36.2284)	(89, 36.1593)	(90, 36.1558)	(91, 36.1429)	(92, 36.0918)	(93, 36.1156)	(94, 36.1148)	(95, 36.113)	(96, 35.9773)	(97, 36.0423)	(98, 36.0091)	(99, 35.9221)	(100, 34.0175)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(1, 36.5462)	(2, 36.676)	(3, 36.7294)	(4, 36.7484)	(5, 36.7968)	(6, 36.809)	(7, 25.3845)	(8, 36.6176)	(9, 24.0079)	(10, 36.6615)	(11, 36.7968)	(12, 36.7813)	(13, 36.7943)	(14, 36.7884)	(15, 36.7917)	(16, 36.7888)	(17, 36.7942)	(18, 36.7892)	(19, 36.7792)	(20, 36.7725)	(21, 36.7571)	(22, 36.7581)	(23, 36.7291)	(24, 36.711)	(25, 36.711)	(26, 36.704)	(27, 36.6867)	(28, 36.6954)	(29, 36.6823)	(30, 36.6752)	(31, 36.6673)	(32, 36.6705)	(33, 36.66)	(34, 36.673)	(35, 36.638)	(36, 36.6341)	(37, 36.6047)	(38, 36.5997)	(39, 36.6096)	(40, 36.5875)	(41, 36.6252)	(42, 36.6262)	(43, 36.6381)	(44, 36.6198)	(45, 36.5929)	(46, 36.5907)	(47, 36.5836)	(48, 36.5809)	(49, 36.581)	(50, 36.6118)	(51, 36.6049)	(52, 36.5937)	(53, 36.5942)	(54, 36.5589)	(55, 36.5595)	(56, 36.5743)	(57, 36.5509)	(58, 36.5446)	(59, 36.5397)	(60, 36.5391)	(61, 36.4949)	(62, 36.4474)	(63, 36.4217)	(64, 36.479)	(65, 36.4418)	(66, 36.4841)	(67, 36.4846)	(68, 36.4549)	(69, 36.4833)	(70, 36.4648)	(71, 36.4798)	(72, 36.4352)	(73, 36.4867)	(74, 36.4515)	(75, 36.4113)	(76, 36.3754)	(77, 36.3515)	(78, 36.3604)	(79, 36.382)	(80, 36.352)	(81, 36.3305)	(82, 36.2914)	(83, 36.2533)	(84, 36.2994)	(85, 36.251)	(86, 36.1838)	(87, 36.195)	(88, 36.2458)	(89, 36.187)	(90, 36.1886)	(91, 36.1814)	(92, 36.1429)	(93, 36.1462)	(94, 36.1452)	(95, 36.1426)	(96, 36.0097)	(97, 36.0729)	(98, 36.0434)	(99, 35.9565)	(100, 34.0012)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(1, 36.5786)	(2, 36.6938)	(3, 36.7429)	(4, 36.7603)	(5, 36.8045)	(6, 36.8126)	(7, 25.3269)	(8, 36.6156)	(9, 23.9763)	(10, 36.6444)	(11, 36.796)	(12, 36.7805)	(13, 36.7901)	(14, 36.7858)	(15, 36.7901)	(16, 36.7859)	(17, 36.7906)	(18, 36.7841)	(19, 36.7727)	(20, 36.7658)	(21, 36.7566)	(22, 36.7549)	(23, 36.7264)	(24, 36.7087)	(25, 36.7049)	(26, 36.6935)	(27, 36.6753)	(28, 36.673)	(29, 36.6574)	(30, 36.6513)	(31, 36.6366)	(32, 36.6467)	(33, 36.6311)	(34, 36.6436)	(35, 36.5987)	(36, 36.5882)	(37, 36.5529)	(38, 36.5434)	(39, 36.566)	(40, 36.5334)	(41, 36.587)	(42, 36.5987)	(43, 36.6042)	(44, 36.5794)	(45, 36.5489)	(46, 36.5413)	(47, 36.5361)	(48, 36.5354)	(49, 36.5405)	(50, 36.5827)	(51, 36.5736)	(52, 36.5644)	(53, 36.5653)	(54, 36.5317)	(55, 36.5344)	(56, 36.5537)	(57, 36.5323)	(58, 36.5302)	(59, 36.5235)	(60, 36.5163)	(61, 36.468)	(62, 36.4171)	(63, 36.3903)	(64, 36.4556)	(65, 36.4046)	(66, 36.461)	(67, 36.4617)	(68, 36.4308)	(69, 36.4621)	(70, 36.4382)	(71, 36.4627)	(72, 36.4145)	(73, 36.4761)	(74, 36.4427)	(75, 36.3977)	(76, 36.3608)	(77, 36.3385)	(78, 36.3467)	(79, 36.3653)	(80, 36.3397)	(81, 36.3122)	(82, 36.2782)	(83, 36.2346)	(84, 36.2882)	(85, 36.2399)	(86, 36.1765)	(87, 36.1775)	(88, 36.2356)	(89, 36.1651)	(90, 36.1683)	(91, 36.1652)	(92, 36.1155)	(93, 36.1263)	(94, 36.121)	(95, 36.1208)	(96, 35.9899)	(97, 36.0493)	(98, 36.02)	(99, 35.9409)	(100, 34.0342)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(1, 36.6717)	(2, 36.6975)	(3, 36.7703)	(4, 36.7612)	(5, 36.7808)	(6, 36.797)	(7, 24.531)	(8, 36.7865)	(9, 23.5388)	(10, 36.8072)	(11, 36.7868)	(12, 36.7745)	(13, 36.7719)	(14, 36.7621)	(15, 36.7783)	(16, 36.7772)	(17, 36.7736)	(18, 36.7644)	(19, 36.7582)	(20, 36.7388)	(21, 36.7402)	(22, 36.7162)	(23, 36.6858)	(24, 36.6849)	(25, 36.6883)	(26, 36.6594)	(27, 36.6583)	(28, 36.6527)	(29, 36.6417)	(30, 36.6438)	(31, 36.6375)	(32, 36.6471)	(33, 36.6366)	(34, 36.6468)	(35, 36.6116)	(36, 36.5998)	(37, 36.5795)	(38, 36.5641)	(39, 36.5951)	(40, 36.5726)	(41, 36.5942)	(42, 36.6089)	(43, 36.5966)	(44, 36.5839)	(45, 36.5638)	(46, 36.5578)	(47, 36.5731)	(48, 36.5839)	(49, 36.5757)	(50, 36.5513)	(51, 36.5569)	(52, 36.5603)	(53, 36.5648)	(54, 36.5669)	(55, 36.5402)	(56, 36.5134)	(57, 36.5114)	(58, 36.5216)	(59, 36.5173)	(60, 36.489)	(61, 36.4351)	(62, 36.4221)	(63, 36.4291)	(64, 36.4456)	(65, 36.3857)	(66, 36.4462)	(67, 36.4485)	(68, 36.431)	(69, 36.4159)	(70, 36.416)	(71, 36.4317)	(72, 36.4174)	(73, 36.4273)	(74, 36.4174)	(75, 36.411)	(76, 36.3939)	(77, 36.3614)	(78, 36.3632)	(79, 36.3627)	(80, 36.32)	(81, 36.3299)	(82, 36.321)	(83, 36.3112)	(84, 36.3029)	(85, 36.3123)	(86, 36.2586)	(87, 36.248)	(88, 36.1994)	(89, 36.2161)	(90, 36.194)	(91, 36.1712)	(92, 36.155)	(93, 36.1929)	(94, 36.1661)	(95, 36.1349)	(96, 36.1159)	(97, 36.0715)	(98, 36.0193)	(99, 35.9489)	(100, 35.7827)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(1, 36.6529)	(2, 36.6821)	(3, 36.7582)	(4, 36.7504)	(5, 36.7694)	(6, 36.7875)	(7, 24.7129)	(8, 36.7676)	(9, 23.5086)	(10, 36.765)	(11, 36.7692)	(12, 36.7577)	(13, 36.755)	(14, 36.746)	(15, 36.7623)	(16, 36.7584)	(17, 36.7574)	(18, 36.7483)	(19, 36.7408)	(20, 36.723)	(21, 36.7204)	(22, 36.6978)	(23, 36.6641)	(24, 36.662)	(25, 36.6633)	(26, 36.6343)	(27, 36.6326)	(28, 36.623)	(29, 36.6143)	(30, 36.6197)	(31, 36.6167)	(32, 36.6293)	(33, 36.6211)	(34, 36.6233)	(35, 36.5949)	(36, 36.5828)	(37, 36.5652)	(38, 36.5549)	(39, 36.5861)	(40, 36.5663)	(41, 36.5805)	(42, 36.5912)	(43, 36.5824)	(44, 36.5701)	(45, 36.5525)	(46, 36.545)	(47, 36.5602)	(48, 36.5687)	(49, 36.559)	(50, 36.5338)	(51, 36.5417)	(52, 36.54)	(53, 36.54)	(54, 36.5432)	(55, 36.5201)	(56, 36.508)	(57, 36.504)	(58, 36.5109)	(59, 36.5119)	(60, 36.4891)	(61, 36.4379)	(62, 36.419)	(63, 36.4214)	(64, 36.4318)	(65, 36.371)	(66, 36.4263)	(67, 36.4222)	(68, 36.4103)	(69, 36.403)	(70, 36.4085)	(71, 36.42)	(72, 36.4067)	(73, 36.4126)	(74, 36.399)	(75, 36.3876)	(76, 36.3742)	(77, 36.3416)	(78, 36.3421)	(79, 36.3402)	(80, 36.302)	(81, 36.3081)	(82, 36.3013)	(83, 36.2881)	(84, 36.2807)	(85, 36.2901)	(86, 36.229)	(87, 36.2175)	(88, 36.1806)	(89, 36.1921)	(90, 36.1769)	(91, 36.1482)	(92, 36.124)	(93, 36.1688)	(94, 36.1439)	(95, 36.1187)	(96, 36.0987)	(97, 36.0485)	(98, 36.0012)	(99, 35.9261)	(100, 35.7382)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(1, 36.6661)	(2, 36.6879)	(3, 36.7614)	(4, 36.7519)	(5, 36.7696)	(6, 36.789)	(7, 24.2093)	(8, 36.7764)	(9, 23.5773)	(10, 36.8007)	(11, 36.7762)	(12, 36.7619)	(13, 36.7571)	(14, 36.7466)	(15, 36.7612)	(16, 36.7619)	(17, 36.7618)	(18, 36.7511)	(19, 36.7475)	(20, 36.731)	(21, 36.7314)	(22, 36.7078)	(23, 36.6783)	(24, 36.677)	(25, 36.6772)	(26, 36.6473)	(27, 36.6474)	(28, 36.6422)	(29, 36.6323)	(30, 36.6364)	(31, 36.6346)	(32, 36.6477)	(33, 36.6402)	(34, 36.6429)	(35, 36.6113)	(36, 36.602)	(37, 36.5847)	(38, 36.574)	(39, 36.6004)	(40, 36.5825)	(41, 36.5904)	(42, 36.6042)	(43, 36.5974)	(44, 36.584)	(45, 36.5612)	(46, 36.5624)	(47, 36.5825)	(48, 36.5873)	(49, 36.5759)	(50, 36.5488)	(51, 36.5559)	(52, 36.5589)	(53, 36.5599)	(54, 36.5624)	(55, 36.5383)	(56, 36.5306)	(57, 36.52)	(58, 36.5314)	(59, 36.5272)	(60, 36.5116)	(61, 36.4585)	(62, 36.4349)	(63, 36.4438)	(64, 36.4524)	(65, 36.4002)	(66, 36.4455)	(67, 36.4471)	(68, 36.4307)	(69, 36.4189)	(70, 36.4224)	(71, 36.4392)	(72, 36.4209)	(73, 36.4172)	(74, 36.4088)	(75, 36.3999)	(76, 36.3832)	(77, 36.3605)	(78, 36.3601)	(79, 36.3549)	(80, 36.3086)	(81, 36.3195)	(82, 36.313)	(83, 36.3038)	(84, 36.2957)	(85, 36.3008)	(86, 36.2415)	(87, 36.2338)	(88, 36.1791)	(89, 36.1956)	(90, 36.1828)	(91, 36.1593)	(92, 36.1394)	(93, 36.1775)	(94, 36.1508)	(95, 36.1211)	(96, 36.0959)	(97, 36.0502)	(98, 35.9923)	(99, 35.9272)	(100, 35.7484)
