Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	12335760.0	384.0	414.0	nan	535079.0	0.0
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	10931817.0	397.0	350.0	nan	497533.0	0.0
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	9479716.0	379.0	293.0	nan	516128.0	0.0
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	9670824.0	356.0	0.0	nan	450958.0	0.0
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	12287173.0	404.0	0.0	nan	1072882.0	0.0
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	10977094.0	441.0	0.0	nan	455372.0	0.0
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	13790106.0	531.0	0.0	nan	1337464.0	0.0
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	14349797.0	483.0	450.0	nan	840358.0	0.0
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	14335548.0	558.0	479.0	nan	644696.0	0.0
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	8263487.0	258.0	293.0	nan	449890.0	0.0
SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq	12799393.0	399.0	0.0	nan	454671.0	0.0
SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq	14352947.0	575.0	452.0	nan	742525.0	0.0
SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq	11492395.0	453.0	373.0	nan	490735.0	0.0
SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq	9639214.0	303.0	0.0	nan	706880.0	0.0
SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq	11692773.0	432.0	0.0	nan	548275.0	0.0
SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq	10111027.0	343.0	348.0	nan	365864.0	0.0
SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq	12067926.0	572.0	0.0	nan	741505.0	0.0
SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq	17318269.0	727.0	603.0	nan	779160.0	0.0
SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq	10286900.0	313.0	0.0	nan	435795.0	0.0
SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq	10212600.0	385.0	0.0	nan	486603.0	0.0
SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq	9920534.0	305.0	0.0	nan	391055.0	0.0
SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq	13108267.0	494.0	0.0	nan	672392.0	0.0
SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq	12768819.0	409.0	0.0	nan	594247.0	0.0
SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq	12895678.0	437.0	420.0	nan	549504.0	0.0
SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq	11978324.0	468.0	373.0	nan	632939.0	0.0
SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq	8901149.0	267.0	0.0	nan	517641.0	0.0
SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq	10430147.0	345.0	352.0	nan	389751.0	0.0
