.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_1_0h_rep1	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_1_0h_rep2	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_1_0h_rep3	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_1_24h_rep1	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_1_24h_rep2	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_1_24h_rep3	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_1_72h_rep1	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_1_72h_rep2	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_1_72h_rep3	1	1	1	0.25	0.5	1	0.5	1	1	1
cell_line_2_0h_rep1	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_2_0h_rep2	1	1	1	0.25	1	1	0.5	1	1	1
cell_line_2_0h_rep3	1	1	1	0.25	1	1	0.5	1	1	1
