Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq - polya	(1, 0.003900047833853612)	(2, 0.007100883904665739)	(3, 0.010060880368208023)	(4, 0.012578042715157365)	(5, 0.015429272904448751)	(6, 0.018233888976204038)	(7, 0.02204070857498545)	(8, 0.02430149327548625)	(9, 0.024348107393022348)	(10, 0.02828700032482271)	(12, 0.03209381992360412)	(14, 0.03925685598498466)	(16, 0.04766293518066117)	(18, 0.054352061047091366)	(20, 0.059370847701811356)	(22, 0.06454889925811301)	(24, 0.06886070513020216)	(26, 0.07285398119912798)	(28, 0.07756589158006864)	(30, 0.08316735470398987)	(32, 0.08940587743423778)	(34, 0.09427316820696544)	(36, 0.12164342422024488)	(38, 0.15298753375347673)	(40, 0.16030983471643895)	(42, 0.16484694215661924)	(44, 0.16969092587057885)	(46, 0.1753506566414202)	(48, 0.18173290623407107)	(50, 0.18582329504786377)	(52, 0.18995252895960318)	(54, 0.19510338894734214)	(56, 0.20007167697473133)	(58, 0.20492731421807497)	(60, 0.2098645261671068)	(62, 0.21458032105784214)	(64, 0.2195253020264633)	(66, 0.22427605750535073)	(68, 0.22843636749544755)	(70, 0.23397179395285927)	(72, 0.23968979237062077)	(74, 0.24480180726041295)	(76, 0.25032946469823536)	(78, 0.2581373293855319)	(80, 0.265401362701574)	(82, 0.27125143445235445)	(84, 0.27712481326190286)	(86, 0.28272627638582415)	(88, 0.2871585020615482)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq - polya	(1, 0.0042781789165918715)	(2, 0.007436507319229224)	(3, 0.010209887107694712)	(4, 0.01266830893911049)	(5, 0.015467935223996787)	(6, 0.018197570851760925)	(7, 0.022090801154180932)	(8, 0.024347999846370507)	(9, 0.024479232328474553)	(10, 0.029190478436009772)	(12, 0.0328474902706425)	(14, 0.03960596309900082)	(16, 0.048595388123127914)	(18, 0.05520075638903152)	(20, 0.06027507903038793)	(22, 0.0648288461593983)	(24, 0.06841586733690887)	(26, 0.07159169340382676)	(28, 0.07594861180968106)	(30, 0.08175783635082012)	(32, 0.0884244464417056)	(34, 0.09330192035990595)	(36, 0.12085636718568529)	(38, 0.1524352767959887)	(40, 0.1589794032369104)	(42, 0.162632040655473)	(44, 0.1668008591703115)	(46, 0.17132837980290105)	(48, 0.17627146996215343)	(50, 0.17960477500759617)	(52, 0.18335802399577186)	(54, 0.1880211515265356)	(56, 0.1925180512466342)	(58, 0.19732116009164224)	(60, 0.2017218226581979)	(62, 0.2060306224872807)	(64, 0.21009882943250613)	(66, 0.21381708309212075)	(68, 0.21788529003734614)	(70, 0.22307334749652608)	(72, 0.22821328637893448)	(74, 0.2327845511722254)	(76, 0.2379332388867741)	(78, 0.24415365853850585)	(80, 0.2509165057829343)	(82, 0.25591208893502826)	(84, 0.26135823694234617)	(86, 0.2670143569210305)	(88, 0.2712575405090613)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq - polya	(1, 0.00413143939348469)	(2, 0.007832728922756688)	(3, 0.010863784942674027)	(4, 0.013454687613164427)	(5, 0.016625792426081247)	(6, 0.02021704361799651)	(7, 0.02493868863912187)	(8, 0.02795974117382496)	(9, 0.0280497725407532)	(10, 0.034241929888373115)	(12, 0.03890355399821298)	(14, 0.04775663841282303)	(16, 0.05892552965453164)	(18, 0.06636312091132551)	(20, 0.07203509702780449)	(22, 0.0772819250226779)	(24, 0.08146338184223384)	(26, 0.08585991359389611)	(28, 0.09086665794362755)	(30, 0.09667868285310602)	(32, 0.10381616955347242)	(34, 0.10877789821973975)	(36, 0.13351651715457666)	(38, 0.16211648138211354)	(40, 0.16901388443733797)	(42, 0.17355046498199972)	(44, 0.17834713614223197)	(46, 0.18401411051610383)	(48, 0.19041634105322294)	(50, 0.194562785674529)	(52, 0.19856417976022847)	(54, 0.20392604783506574)	(56, 0.2089578008978328)	(58, 0.21418962366488487)	(60, 0.21908132793465243)	(62, 0.22363291370713556)	(64, 0.228759699879438)	(66, 0.23329628042409975)	(68, 0.23752775466972692)	(70, 0.24334978306441965)	(72, 0.2489767434974345)	(74, 0.2536883850333456)	(76, 0.25905525485079006)	(78, 0.26708305173522456)	(80, 0.27473571792412477)	(82, 0.2806077637448887)	(84, 0.28685494026118696)	(86, 0.292566930318523)	(88, 0.2967433853954718)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq - polya	(1, 0.006648792972393777)	(2, 0.01190459960138856)	(3, 0.01728883759537758)	(4, 0.021517193304418494)	(5, 0.02556772096962124)	(6, 0.029796076678662155)	(7, 0.03450851984037365)	(8, 0.03669185304527561)	(9, 0.036790646402963485)	(10, 0.039942154513206596)	(12, 0.04370618144111452)	(14, 0.052202410202271496)	(16, 0.06348461165022647)	(18, 0.07172891734927937)	(20, 0.07735519906960367)	(22, 0.08234920330072559)	(24, 0.08629599794035608)	(26, 0.08971424811635645)	(28, 0.0936808014275245)	(30, 0.09862046931191809)	(32, 0.1050025202185546)	(34, 0.10937412629624294)	(36, 0.13481341590086995)	(38, 0.1642241984845494)	(40, 0.1708532327854056)	(42, 0.17456786303446958)	(44, 0.17863814937120992)	(46, 0.1838741973286671)	(48, 0.18914976262919947)	(50, 0.19257295247308426)	(52, 0.19628758272214825)	(54, 0.2014001389824956)	(56, 0.20582114173902788)	(58, 0.2104990072255486)	(60, 0.21538927843109823)	(62, 0.21992883321685597)	(64, 0.22450296567780442)	(66, 0.2286078296897355)	(68, 0.23274727137685736)	(70, 0.23781043095836077)	(72, 0.24359478205098567)	(74, 0.24814915584039657)	(76, 0.25353833350226995)	(78, 0.2597968927117966)	(80, 0.26706314416973964)	(82, 0.27269930522583274)	(84, 0.2785725703403767)	(86, 0.2846582411739496)	(88, 0.2896720040766091)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq - polya	(1, 0.007529681427861124)	(2, 0.01256693351628114)	(3, 0.018045787199376908)	(4, 0.022596529056374486)	(5, 0.02764875069037673)	(6, 0.0324539748222722)	(7, 0.03854657987423935)	(8, 0.0416826996737163)	(9, 0.04180245603837413)	(10, 0.046035095051749346)	(12, 0.0511471948680805)	(14, 0.0627298807623301)	(16, 0.07774059259491009)	(18, 0.08924094598845744)	(20, 0.09744425696751885)	(22, 0.10421797634347742)	(24, 0.10930762184143523)	(26, 0.11358516949155714)	(28, 0.11816585043971917)	(30, 0.12336028275675259)	(32, 0.12900005905485734)	(34, 0.13431799012294413)	(36, 0.1594368876099242)	(38, 0.1867825050022608)	(40, 0.193762055629975)	(42, 0.19864961226257272)	(44, 0.20378790878367276)	(46, 0.20941645792259084)	(48, 0.21568495513514918)	(50, 0.21934500903000415)	(52, 0.2227318687179834)	(54, 0.22807225410444357)	(56, 0.23203918368373422)	(58, 0.23655624406317177)	(60, 0.240788883076547)	(62, 0.24484188754293545)	(64, 0.24957600633331534)	(66, 0.2536701770500549)	(68, 0.25795520947296796)	(70, 0.2626481620129967)	(72, 0.2674496437584966)	(74, 0.27225861027678766)	(76, 0.27663345997319405)	(78, 0.28255391525096557)	(80, 0.2890843795112129)	(82, 0.2939195427342728)	(84, 0.29861249527430156)	(86, 0.30305096553943245)	(88, 0.306621202160794)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq - polya	(1, 0.00643755783196697)	(2, 0.011344446342474402)	(3, 0.016706162308501242)	(4, 0.020878329544708096)	(5, 0.02499801668989348)	(6, 0.029397597653860037)	(7, 0.03466310011968085)	(8, 0.03706843762483155)	(9, 0.0371821444887114)	(10, 0.040693937246231424)	(12, 0.04505415814193188)	(14, 0.05354718620557308)	(16, 0.06439307168334353)	(18, 0.07262369929187738)	(20, 0.07808162875811026)	(22, 0.08310659747341599)	(24, 0.08718692455033528)	(26, 0.09143343858215588)	(28, 0.09558373911377045)	(30, 0.1001626270553937)	(32, 0.10449223456466497)	(34, 0.10862941507352417)	(36, 0.12541429751855762)	(38, 0.14348931553453553)	(40, 0.14962511284312904)	(42, 0.154479521262615)	(44, 0.15989809066058178)	(46, 0.16601202126458303)	(48, 0.17239272566461006)	(50, 0.17693662687888567)	(52, 0.18105194068315258)	(54, 0.186208109626012)	(56, 0.19091382445427046)	(58, 0.1958819397376363)	(60, 0.20133986920386915)	(62, 0.2065922516469346)	(64, 0.21222948809082415)	(66, 0.21695269628275643)	(68, 0.22161467770183035)	(70, 0.226993887031531)	(72, 0.23295475070338628)	(74, 0.23853076037441745)	(76, 0.24428607702310534)	(78, 0.2511697156287548)	(80, 0.2592560229869796)	(82, 0.26514691320413963)	(84, 0.27104217676221803)	(86, 0.27671439993345526)	(88, 0.28126704782956774)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq - polya	(1, 0.0065903843450013985)	(2, 0.011574486447439768)	(3, 0.016783335859537164)	(4, 0.02105353474305863)	(5, 0.02535017448653998)	(6, 0.029745967454870906)	(7, 0.03625041900500268)	(8, 0.03976705337966741)	(9, 0.03992569853942673)	(10, 0.044959377254289876)	(12, 0.05102424950758856)	(14, 0.06382823594316299)	(16, 0.07971588767155904)	(18, 0.09319411603611055)	(20, 0.10406461458711837)	(22, 0.11456824620618279)	(24, 0.12135363189338834)	(26, 0.1272201976969879)	(28, 0.13393948123429372)	(30, 0.14309462899540398)	(32, 0.15367758319434804)	(34, 0.16295832504026778)	(36, 0.22741453140747805)	(38, 0.3020273331067792)	(40, 0.31601785313305353)	(42, 0.3221620479662318)	(44, 0.32841531134674473)	(46, 0.3353758677311845)	(48, 0.3425413407803134)	(50, 0.3470263716510089)	(52, 0.35137258800691507)	(54, 0.3573548325728391)	(56, 0.3623819010727123)	(58, 0.3673759184976356)	(60, 0.37267400581209764)	(62, 0.3774796321098068)	(64, 0.38260254872703453)	(66, 0.3869024935780109)	(68, 0.39082235106706387)	(70, 0.39564450290224795)	(72, 0.400241907427773)	(74, 0.4044493092688897)	(76, 0.40972426083088687)	(78, 0.41678397044017623)	(80, 0.4239031719843753)	(82, 0.42878481575446914)	(84, 0.43455222833321905)	(86, 0.43960573769305217)	(88, 0.44351898496711517)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq - polya	(1, 0.004417063478270944)	(2, 0.007649221701566076)	(3, 0.010795803434224066)	(4, 0.013527668327640522)	(5, 0.016331944097749945)	(6, 0.01912305425391519)	(7, 0.02278309493039603)	(8, 0.025798020523612266)	(9, 0.025896762628193584)	(10, 0.03577097308632535)	(12, 0.0422418723398877)	(14, 0.0556181361071702)	(16, 0.0704557830222562)	(18, 0.08021479435837645)	(20, 0.08710370185466637)	(22, 0.0932290037421941)	(24, 0.09808053248062285)	(26, 0.10262266929136346)	(28, 0.10821805521763814)	(30, 0.11478440517229577)	(32, 0.12324331213142864)	(34, 0.1298129534895723)	(36, 0.1635333822040923)	(38, 0.2033494901747656)	(40, 0.21186105958967522)	(42, 0.21731820656953604)	(44, 0.22298600337250368)	(46, 0.22889078122646647)	(48, 0.2352563555684754)	(50, 0.23980178378270206)	(52, 0.24391603814025697)	(54, 0.2494488874002968)	(56, 0.254333330173586)	(58, 0.2594909594362168)	(60, 0.2646420058918756)	(62, 0.26982925778588074)	(64, 0.2749803042415395)	(66, 0.2798614556113427)	(68, 0.28412053172228346)	(70, 0.2891860016873051)	(72, 0.29441604182662884)	(74, 0.29970532722870147)	(76, 0.3055376942059713)	(78, 0.3135687187119185)	(80, 0.32147466988539597)	(82, 0.3273432423010123)	(84, 0.33342575594322144)	(86, 0.3387644123975847)	(88, 0.34300374008760925)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq - polya	(1, 0.0040383729535545055)	(2, 0.0069953964550828465)	(3, 0.00991904497352396)	(4, 0.012261968786247317)	(5, 0.014898592450138276)	(6, 0.017648691056525806)	(7, 0.02141338914876505)	(8, 0.02342923812723358)	(9, 0.0235493880663476)	(10, 0.02941337259477344)	(12, 0.03372542040964321)	(14, 0.04319056561318088)	(16, 0.05371369778058365)	(18, 0.06094271911727708)	(20, 0.06708371600532692)	(22, 0.07282755059463875)	(24, 0.07771364811860881)	(26, 0.08218923335060599)	(28, 0.08733231824434773)	(30, 0.0935968025698203)	(32, 0.10180704840927822)	(34, 0.1083385325994486)	(36, 0.14908604945064444)	(38, 0.1972061000658088)	(40, 0.20646098287589693)	(42, 0.21136043039310187)	(44, 0.21684727761264205)	(46, 0.22279469959878598)	(48, 0.22934287128049996)	(50, 0.2342489937943224)	(52, 0.23860109158889684)	(54, 0.24447508861224887)	(56, 0.2500420357911983)	(58, 0.25565570794646997)	(60, 0.2611492301626276)	(62, 0.26665276487371137)	(64, 0.27204949963891606)	(66, 0.2770390596104565)	(68, 0.2816448072764939)	(70, 0.2873185544013226)	(72, 0.2933928013231979)	(74, 0.2989697609970736)	(76, 0.30536107025827763)	(78, 0.31500310287217764)	(80, 0.32436144812983614)	(82, 0.33054916999420814)	(84, 0.3368136543196807)	(86, 0.34287121375001245)	(88, 0.34770724879935166)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq - polya	(1, 0.0032361984170628908)	(2, 0.005531374599376997)	(3, 0.00773474373439854)	(4, 0.009329891181106845)	(5, 0.011200459769692842)	(6, 0.01333497361924496)	(7, 0.015733432729763203)	(8, 0.018028608912077308)	(9, 0.018097464197546733)	(10, 0.02454117132939359)	(12, 0.028609371112545343)	(14, 0.036062955764610403)	(16, 0.04640272446593545)	(18, 0.053563674154755464)	(20, 0.059215545503703955)	(22, 0.06402967754610779)	(24, 0.06758146268823888)	(26, 0.07086356462894805)	(28, 0.0751612820303312)	(30, 0.08081889131973549)	(32, 0.08801426865129022)	(34, 0.0932759600492453)	(36, 0.11996885904955837)	(38, 0.15101111691535668)	(40, 0.1579941904500473)	(42, 0.16211403169730115)	(44, 0.16599287944541197)	(46, 0.17067503885733276)	(48, 0.1763900275512949)	(50, 0.1801196888475553)	(52, 0.18372311545378847)	(54, 0.1881413296047431)	(56, 0.19240461936339157)	(58, 0.19653593649155698)	(60, 0.2008508677143075)	(62, 0.2054813856621262)	(64, 0.2099569792176387)	(66, 0.21383582696574954)	(68, 0.21765729530930253)	(70, 0.2232058837300469)	(72, 0.2290471071140363)	(74, 0.233597293895474)	(76, 0.23845732946152412)	(78, 0.24596255557769126)	(80, 0.253611230205253)	(82, 0.2588843974841197)	(84, 0.2640141162515917)	(86, 0.2694708976250435)	(88, 0.2734358144799911)
