Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(1, 36.6828069343472)	(2, 36.70260589231968)	(3, 36.772990179881546)	(4, 36.76122827267425)	(5, 36.775851665176695)	(6, 36.793114271323844)	(7, 24.539509232586344)	(8, 36.792636942760275)	(9, 23.516865104259853)	(10, 36.796362731484734)	(12, 36.774443996517306)	(14, 36.76709924308773)	(16, 36.76963909097188)	(18, 36.76124404378402)	(20, 36.743023786351)	(22, 36.70570090953931)	(24, 36.68745361818661)	(26, 36.660911454115706)	(28, 36.649041809640664)	(30, 36.64700230294794)	(32, 36.65503988798295)	(34, 36.64353303242389)	(36, 36.62461643386261)	(38, 36.619562503453636)	(40, 36.6139065625198)	(42, 36.61642258274951)	(44, 36.59384726005119)	(46, 36.593116387806774)	(48, 36.60196953688197)	(50, 36.570074862300345)	(52, 36.56987546499704)	(54, 36.5627111541033)	(56, 36.54659243637589)	(58, 36.55336219760158)	(60, 36.52665869448948)	(62, 36.48908478690109)	(64, 36.46663733928559)	(66, 36.46562364008267)	(68, 36.45088090622679)	(70, 36.46359091486652)	(72, 36.444476398762866)	(74, 36.42429301803683)	(76, 36.39524048549902)	(78, 36.383095896196465)	(80, 36.34419682884071)	(82, 36.331783294476786)	(84, 36.321100833035175)	(86, 36.2670963430154)	(88, 36.224706531194386)	(90, 36.20616350468875)	(92, 36.193462843189096)	(94, 36.16877802996108)	(96, 36.111848910934754)	(98, 36.0028756566505)	(100, 35.78975018519751)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(1, 36.67990647848395)	(2, 36.697735636014286)	(3, 36.766622190520344)	(4, 36.75684467069702)	(5, 36.77193946823024)	(6, 36.78946451635537)	(7, 24.55322163932642)	(8, 36.774461231606345)	(9, 23.551186573482273)	(10, 36.79379580068306)	(12, 36.76680687836682)	(14, 36.76212327856885)	(16, 36.767603896974805)	(18, 36.75555019349355)	(20, 36.73558584441898)	(22, 36.69529668752229)	(24, 36.67910143283242)	(26, 36.653737475732264)	(28, 36.64137349805701)	(30, 36.63076688679987)	(32, 36.633723984336896)	(34, 36.623128352987436)	(36, 36.586561918057306)	(38, 36.57906956915632)	(40, 36.576738146390085)	(42, 36.59481310827398)	(44, 36.56566388180548)	(46, 36.563272371781736)	(48, 36.57638386025229)	(50, 36.55002000955115)	(52, 36.55464504882899)	(54, 36.54087873397351)	(56, 36.507865487790994)	(58, 36.51988851556239)	(60, 36.46558008470508)	(62, 36.42344567642618)	(64, 36.408529288049294)	(66, 36.44096704984767)	(68, 36.4235509056241)	(70, 36.43015236922204)	(72, 36.41672137699236)	(74, 36.39878491299398)	(76, 36.36978604429739)	(78, 36.361691977493216)	(80, 36.31950595036106)	(82, 36.314031786272594)	(84, 36.30310597538207)	(86, 36.23857257179502)	(88, 36.19714978827592)	(90, 36.1864559379996)	(92, 36.171138158623265)	(94, 36.14624473651886)	(96, 36.08504900840637)	(98, 35.9685204581766)	(100, 35.76676177036514)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(1, 36.66906900364087)	(2, 36.69128264287278)	(3, 36.75891830713821)	(4, 36.75188075525513)	(5, 36.76809800534506)	(6, 36.787730345252285)	(7, 24.903176166576436)	(8, 36.78462036173403)	(9, 23.599028701599636)	(10, 36.7975409632716)	(12, 36.77057606870234)	(14, 36.76604148885471)	(16, 36.7727598295246)	(18, 36.76068442245278)	(20, 36.74064504775741)	(22, 36.70475418387245)	(24, 36.68888396016932)	(26, 36.6631024826649)	(28, 36.65176942158472)	(30, 36.647157015443945)	(32, 36.653472000241266)	(34, 36.641211303194574)	(36, 36.610088506755886)	(38, 36.603203857003216)	(40, 36.599952465086396)	(42, 36.61255279363691)	(44, 36.587821731549425)	(46, 36.586634020432165)	(48, 36.59887463637993)	(50, 36.567752365986316)	(52, 36.56860705511199)	(54, 36.55900168932459)	(56, 36.532730888657966)	(58, 36.539125479736526)	(60, 36.48920032449206)	(62, 36.44695311602891)	(64, 36.435567471297816)	(66, 36.458906792237514)	(68, 36.4393366467652)	(70, 36.447637051490645)	(72, 36.43399481037301)	(74, 36.414736318785486)	(76, 36.38493673211261)	(78, 36.37292641825571)	(80, 36.33364974458797)	(82, 36.32343715533351)	(84, 36.3117285993988)	(86, 36.25878351358573)	(88, 36.21542780414089)	(90, 36.19057289340152)	(92, 36.17790808760711)	(94, 36.14890352045016)	(96, 36.08826956505911)	(98, 35.9829376309892)	(100, 35.78134859024073)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(1, 36.55176110027348)	(2, 36.67809873763824)	(3, 36.730029762486936)	(4, 36.74874161960645)	(5, 36.79584204443765)	(6, 36.80646144124888)	(7, 25.699520595352485)	(8, 36.61528661237379)	(9, 24.313005809642192)	(10, 36.730281389168965)	(12, 36.787618485343714)	(14, 36.788882941528755)	(16, 36.788840361591596)	(18, 36.78101306265534)	(20, 36.76428731922475)	(22, 36.74462120187034)	(24, 36.71270776536231)	(26, 36.696978801801635)	(28, 36.68843595169912)	(30, 36.668511930878786)	(32, 36.661996696002944)	(34, 36.65136084435612)	(36, 36.613734422156426)	(38, 36.60218531201426)	(40, 36.60233254931949)	(42, 36.63002056700003)	(44, 36.601175425057306)	(46, 36.58512530051033)	(48, 36.57976023990361)	(50, 36.60729920272183)	(52, 36.59511799352274)	(54, 36.55839306172468)	(56, 36.56211144044246)	(58, 36.54635754390878)	(60, 36.5147338375305)	(62, 36.43548696652203)	(64, 36.463281746512195)	(66, 36.483390437248026)	(68, 36.465046820255864)	(70, 36.46946595927035)	(72, 36.45919833822933)	(74, 36.42569081597092)	(76, 36.36164971863728)	(78, 36.36689904501411)	(80, 36.335601816541796)	(82, 36.27275852636215)	(84, 36.280857352099694)	(86, 36.19197143497122)	(88, 36.21261426981775)	(90, 36.182741294513406)	(92, 36.134313546068)	(94, 36.13410786714286)	(96, 36.03046053347809)	(98, 35.98767226145853)	(100, 34.04430960873431)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(1, 36.57170962464688)	(2, 36.69238571818528)	(3, 36.742227418983134)	(4, 36.75970638433904)	(5, 36.80366101194577)	(6, 36.80992703918331)	(7, 25.61847411080712)	(8, 36.60758638606653)	(9, 24.541108879567684)	(10, 36.72098091839509)	(12, 36.784730562026354)	(14, 36.787580726081345)	(16, 36.787621368397595)	(18, 36.77872668895582)	(20, 36.75783004489289)	(22, 36.73917531621897)	(24, 36.7035476142546)	(26, 36.68189824310481)	(28, 36.662992402237705)	(30, 36.64083722233704)	(32, 36.635494318947565)	(34, 36.610673881990074)	(36, 36.54719918074534)	(38, 36.52849014171446)	(40, 36.545670540559016)	(42, 36.595335252471095)	(44, 36.558336558713066)	(46, 36.533721940205595)	(48, 36.53824264701744)	(50, 36.57739670553596)	(52, 36.5629158693814)	(54, 36.52540153491225)	(56, 36.52955610033855)	(58, 36.51338170027556)	(60, 36.46162505296326)	(62, 36.37101216701792)	(64, 36.40682925277083)	(66, 36.45298387099005)	(68, 36.43180556369123)	(70, 36.43358334545444)	(72, 36.43840598020793)	(74, 36.41410555530747)	(76, 36.34594752647602)	(78, 36.34884753975348)	(80, 36.319977792477324)	(82, 36.255423381288395)	(84, 36.26146825331332)	(86, 36.16949335566978)	(88, 36.19387518576734)	(90, 36.14938155837284)	(92, 36.10368678996953)	(94, 36.113942112166924)	(96, 36.009782729534834)	(98, 35.96563160212489)	(100, 34.01747908229013)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(1, 36.5461987051937)	(2, 36.67603322584536)	(3, 36.72939655679872)	(4, 36.74837641905073)	(5, 36.79679428862668)	(6, 36.80899048684643)	(7, 25.38450605782064)	(8, 36.61763722909668)	(9, 24.007937876167453)	(10, 36.72912339792495)	(12, 36.78780974077721)	(14, 36.7900528710677)	(16, 36.791519164810836)	(18, 36.784199241715164)	(20, 36.76478350571786)	(22, 36.74360840000567)	(24, 36.710998904817615)	(26, 36.69534972997081)	(28, 36.68882607326286)	(30, 36.67127954195385)	(32, 36.665265054659116)	(34, 36.655493423962454)	(36, 36.619415537456504)	(38, 36.604678328403345)	(40, 36.60633979602606)	(42, 36.63214455626294)	(44, 36.60633198800036)	(46, 36.5871549418645)	(48, 36.58098695740952)	(50, 36.608328994868515)	(52, 36.5939736588372)	(54, 36.55922679500313)	(56, 36.56260086653243)	(58, 36.542119122906335)	(60, 36.5169704408211)	(62, 36.434532952844464)	(64, 36.460371545172436)	(66, 36.4843657210642)	(68, 36.46911395961608)	(70, 36.47226605837669)	(72, 36.460963567258815)	(74, 36.43139560086876)	(76, 36.36349283546792)	(78, 36.37118782612704)	(80, 36.3412262026215)	(82, 36.27231395699038)	(84, 36.27521505675129)	(86, 36.189443771062344)	(88, 36.21635491915206)	(90, 36.18498333106076)	(92, 36.14453456001203)	(94, 36.14394143309496)	(96, 36.0412818957467)	(98, 35.99992833350626)	(100, 34.00117925469507)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(1, 36.57856521449718)	(2, 36.69379335846581)	(3, 36.74289125912102)	(4, 36.76028570935638)	(5, 36.8045019662415)	(6, 36.81263451374366)	(7, 25.3268617786198)	(8, 36.61563371370934)	(9, 23.97633113369616)	(10, 36.72020592670554)	(12, 36.78528372463933)	(14, 36.78792275382085)	(16, 36.78823078983939)	(18, 36.77841819009537)	(20, 36.76116308273042)	(22, 36.740659164650154)	(24, 36.70679217549262)	(26, 36.68440677723097)	(28, 36.665164232329545)	(30, 36.64396709796341)	(32, 36.63887618442355)	(34, 36.6211349680746)	(36, 36.570579649281754)	(38, 36.55467333799639)	(40, 36.560176124685185)	(42, 36.601432145092545)	(44, 36.56415028893731)	(46, 36.53869508834276)	(48, 36.53794303403194)	(50, 36.578153358694124)	(52, 36.56485234664508)	(54, 36.533043215602184)	(56, 36.5429987797016)	(58, 36.526855082448876)	(60, 36.492179216770445)	(62, 36.40368044421527)	(64, 36.43005509281912)	(66, 36.461360312385935)	(68, 36.44648460516644)	(70, 36.450433528484886)	(72, 36.44533645268375)	(74, 36.42021764102584)	(76, 36.349673964770574)	(78, 36.35601799994208)	(80, 36.32596180922863)	(82, 36.25640557085558)	(84, 36.26405595232703)	(86, 36.17702488038762)	(88, 36.20038561869133)	(90, 36.166732538086436)	(92, 36.12094504817227)	(94, 36.12086889138659)	(96, 36.0196421789379)	(98, 35.98047559525942)	(100, 34.03415721846879)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(1, 36.67170679282484)	(2, 36.69751811061854)	(3, 36.770313686550956)	(4, 36.76120393746649)	(5, 36.78077541253135)	(6, 36.79696424640552)	(7, 24.53103148372256)	(8, 36.78654392628099)	(9, 23.538827896988025)	(10, 36.797013354145534)	(12, 36.77324033670268)	(14, 36.770210468137634)	(16, 36.77537152045989)	(18, 36.76132986656387)	(20, 36.739502293593105)	(22, 36.701021079016705)	(24, 36.686627646450276)	(26, 36.65884562409851)	(28, 36.64718454163766)	(30, 36.64063328238921)	(32, 36.64187686519408)	(34, 36.62921310619117)	(36, 36.58962773840489)	(38, 36.57961640876124)	(40, 36.583410418664705)	(42, 36.60277240298521)	(44, 36.573848311199846)	(46, 36.56549850552974)	(48, 36.57977680226425)	(50, 36.55409615390587)	(52, 36.56255423407084)	(54, 36.553569036826715)	(56, 36.51240157515152)	(58, 36.519442087240314)	(60, 36.46203099728369)	(62, 36.42560509487021)	(64, 36.41565215370494)	(66, 36.447343708977726)	(68, 36.42343216807062)	(70, 36.42382847625362)	(72, 36.4223602645354)	(74, 36.41421416788278)	(76, 36.37768616197293)	(78, 36.36291394937204)	(80, 36.32495311852481)	(82, 36.31606565024145)	(84, 36.307605312536914)	(86, 36.25327549594678)	(88, 36.20773969925355)	(90, 36.1826362561184)	(92, 36.17395770322179)	(94, 36.15050979416503)	(96, 36.09369727755789)	(98, 35.98410900434797)	(100, 35.7826820361486)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(1, 36.65286339666147)	(2, 36.68214987757055)	(3, 36.75816100105191)	(4, 36.75043542671685)	(5, 36.769440543836005)	(6, 36.78747691869607)	(7, 24.71291053148259)	(8, 36.76759851176946)	(9, 23.508625530754014)	(10, 36.767052764046014)	(12, 36.75631683298644)	(14, 36.75413564434176)	(16, 36.757904013682136)	(18, 36.74454360745253)	(20, 36.72169613538685)	(22, 36.68095630411956)	(24, 36.66261433253196)	(26, 36.63347788559091)	(28, 36.61864651726701)	(30, 36.618219190239955)	(32, 36.62520151234334)	(34, 36.60909146696267)	(36, 36.57401851671227)	(38, 36.570501209174346)	(40, 36.57343802817978)	(42, 36.58681339184582)	(44, 36.56130681902334)	(46, 36.55258271886517)	(48, 36.56385064336618)	(50, 36.53774838164341)	(52, 36.53999742477632)	(54, 36.531663004065216)	(56, 36.505994888022585)	(58, 36.511402066519324)	(60, 36.46349181547764)	(62, 36.42021095417149)	(64, 36.40139521187811)	(66, 36.42427408813586)	(68, 36.40665193503265)	(70, 36.41428712339649)	(72, 36.409615191921986)	(74, 36.39328486554052)	(76, 36.357888158848716)	(78, 36.34112756370948)	(80, 36.30501069241561)	(82, 36.29470783708116)	(84, 36.28537091936019)	(86, 36.22325869958424)	(88, 36.18636309585601)	(90, 36.162539544832164)	(92, 36.14640371202884)	(94, 36.131289092076216)	(96, 36.07358724083346)	(98, 35.96364286209896)	(100, 35.73822048525668)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(1, 36.6660518654733)	(2, 36.68793040291359)	(3, 36.761397041609705)	(4, 36.751911193207015)	(5, 36.76955283541475)	(6, 36.78903107760358)	(7, 24.209330969913914)	(8, 36.77638901767377)	(9, 23.577277434470425)	(10, 36.788408396305314)	(12, 36.759521194115905)	(14, 36.753897668192806)	(16, 36.76185951961044)	(18, 36.749308004381035)	(20, 36.73116524438825)	(22, 36.693041521780714)	(24, 36.67710545210214)	(26, 36.64736784617074)	(28, 36.63726172422571)	(30, 36.63550496749872)	(32, 36.64392354888653)	(34, 36.62708688079993)	(36, 36.59334640602772)	(38, 36.587201120561545)	(40, 36.586452152846064)	(42, 36.60079039710048)	(44, 36.57263375366884)	(46, 36.572452879646626)	(48, 36.581589160626336)	(50, 36.552338853314396)	(52, 36.559365584488795)	(54, 36.55032833299498)	(56, 36.5253354590316)	(58, 36.52929179913557)	(60, 36.48501551693789)	(62, 36.4393519232608)	(64, 36.42626712382513)	(66, 36.44627532680029)	(68, 36.42480887844767)	(70, 36.43081048801585)	(72, 36.41904074721434)	(74, 36.40431895981878)	(76, 36.37184707564421)	(78, 36.35747713006255)	(80, 36.31406366204697)	(82, 36.308420167934116)	(84, 36.29823543621728)	(86, 36.2376551889106)	(88, 36.187354550842)	(90, 36.1710491544319)	(92, 36.15844791363116)	(94, 36.13593910696795)	(96, 36.073076063845576)	(98, 35.959768184589976)	(100, 35.74840404286575)
