Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(13.0, 3.0)	(14.0, 42.0)	(15.0, 76.0)	(16.0, 119.0)	(17.0, 138.0)	(18.0, 165.0)	(19.0, 182.0)	(20.0, 168.0)	(21.0, 161.0)	(22.0, 134.0)	(23.0, 199.0)	(24.0, 370.0)	(25.0, 819.0)	(26.0, 2142.0)	(27.0, 4725.0)	(28.0, 8869.0)	(29.0, 14752.0)	(30.0, 22717.0)	(31.0, 34072.0)	(32.0, 52021.0)	(33.0, 100223.0)	(34.0, 324739.0)	(35.0, 2101779.0)	(36.0, 9621714.0)	(37.0, 581308.0)	
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(13.0, 1.0)	(14.0, 29.0)	(15.0, 74.0)	(16.0, 82.0)	(17.0, 124.0)	(18.0, 161.0)	(19.0, 149.0)	(20.0, 175.0)	(21.0, 175.0)	(22.0, 161.0)	(23.0, 205.0)	(24.0, 355.0)	(25.0, 849.0)	(26.0, 2015.0)	(27.0, 4551.0)	(28.0, 8252.0)	(29.0, 14072.0)	(30.0, 21407.0)	(31.0, 33522.0)	(32.0, 55211.0)	(33.0, 108355.0)	(34.0, 325721.0)	(35.0, 1943250.0)	(36.0, 8400268.0)	(37.0, 510933.0)	
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(13.0, 3.0)	(14.0, 32.0)	(15.0, 80.0)	(16.0, 119.0)	(17.0, 104.0)	(18.0, 173.0)	(19.0, 141.0)	(20.0, 165.0)	(21.0, 169.0)	(22.0, 153.0)	(23.0, 204.0)	(24.0, 343.0)	(25.0, 738.0)	(26.0, 1773.0)	(27.0, 3835.0)	(28.0, 6962.0)	(29.0, 11941.0)	(30.0, 18312.0)	(31.0, 28010.0)	(32.0, 44802.0)	(33.0, 88803.0)	(34.0, 273582.0)	(35.0, 1651935.0)	(36.0, 7383897.0)	(37.0, 480240.0)	
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(12.0, 1.0)	(13.0, 4.0)	(14.0, 16.0)	(15.0, 70.0)	(16.0, 87.0)	(17.0, 115.0)	(18.0, 128.0)	(19.0, 173.0)	(20.0, 140.0)	(21.0, 177.0)	(22.0, 189.0)	(23.0, 223.0)	(24.0, 456.0)	(25.0, 835.0)	(26.0, 1795.0)	(27.0, 3810.0)	(28.0, 6903.0)	(29.0, 12063.0)	(30.0, 18888.0)	(31.0, 30285.0)	(32.0, 49887.0)	(33.0, 95884.0)	(34.0, 266122.0)	(35.0, 1538717.0)	(36.0, 7518921.0)	(37.0, 576249.0)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(13.0, 6.0)	(14.0, 24.0)	(15.0, 92.0)	(16.0, 117.0)	(17.0, 133.0)	(18.0, 168.0)	(19.0, 161.0)	(20.0, 170.0)	(21.0, 223.0)	(22.0, 255.0)	(23.0, 339.0)	(24.0, 644.0)	(25.0, 1243.0)	(26.0, 2606.0)	(27.0, 5347.0)	(28.0, 9548.0)	(29.0, 16324.0)	(30.0, 25958.0)	(31.0, 41502.0)	(32.0, 71646.0)	(33.0, 148135.0)	(34.0, 452550.0)	(35.0, 2438467.0)	(36.0, 9181073.0)	(37.0, 963728.0)	
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(13.0, 5.0)	(14.0, 35.0)	(15.0, 93.0)	(16.0, 134.0)	(17.0, 124.0)	(18.0, 171.0)	(19.0, 202.0)	(20.0, 217.0)	(21.0, 212.0)	(22.0, 217.0)	(23.0, 293.0)	(24.0, 512.0)	(25.0, 976.0)	(26.0, 2050.0)	(27.0, 4252.0)	(28.0, 7735.0)	(29.0, 13305.0)	(30.0, 21329.0)	(31.0, 33870.0)	(32.0, 55575.0)	(33.0, 103852.0)	(34.0, 287808.0)	(35.0, 1774808.0)	(36.0, 8521303.0)	(37.0, 603829.0)	
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(13.0, 4.0)	(14.0, 24.0)	(15.0, 94.0)	(16.0, 148.0)	(17.0, 189.0)	(18.0, 227.0)	(19.0, 265.0)	(20.0, 281.0)	(21.0, 295.0)	(22.0, 319.0)	(23.0, 436.0)	(24.0, 713.0)	(25.0, 1434.0)	(26.0, 2790.0)	(27.0, 5544.0)	(28.0, 9921.0)	(29.0, 17848.0)	(30.0, 28545.0)	(31.0, 46338.0)	(32.0, 79987.0)	(33.0, 166016.0)	(34.0, 527935.0)	(35.0, 2886898.0)	(36.0, 10339033.0)	(37.0, 1012817.0)	
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(13.0, 4.0)	(14.0, 37.0)	(15.0, 111.0)	(16.0, 118.0)	(17.0, 155.0)	(18.0, 191.0)	(19.0, 221.0)	(20.0, 197.0)	(21.0, 218.0)	(22.0, 193.0)	(23.0, 264.0)	(24.0, 476.0)	(25.0, 1079.0)	(26.0, 2670.0)	(27.0, 5885.0)	(28.0, 10690.0)	(29.0, 17889.0)	(30.0, 27783.0)	(31.0, 43789.0)	(32.0, 72338.0)	(33.0, 143889.0)	(34.0, 444112.0)	(35.0, 2672776.0)	(36.0, 11038996.0)	(37.0, 707007.0)	
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(13.0, 10.0)	(14.0, 52.0)	(15.0, 98.0)	(16.0, 136.0)	(17.0, 155.0)	(18.0, 175.0)	(19.0, 222.0)	(20.0, 197.0)	(21.0, 189.0)	(22.0, 180.0)	(23.0, 268.0)	(24.0, 479.0)	(25.0, 1050.0)	(26.0, 2540.0)	(27.0, 5571.0)	(28.0, 10693.0)	(29.0, 17755.0)	(30.0, 27122.0)	(31.0, 42679.0)	(32.0, 69797.0)	(33.0, 143548.0)	(34.0, 442234.0)	(35.0, 2639807.0)	(36.0, 10943128.0)	(37.0, 633196.0)	
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(13.0, 6.0)	(14.0, 22.0)	(15.0, 44.0)	(16.0, 70.0)	(17.0, 79.0)	(18.0, 80.0)	(19.0, 86.0)	(20.0, 92.0)	(21.0, 100.0)	(22.0, 96.0)	(23.0, 133.0)	(24.0, 294.0)	(25.0, 739.0)	(26.0, 1539.0)	(27.0, 3568.0)	(28.0, 6498.0)	(29.0, 10926.0)	(30.0, 16448.0)	(31.0, 24552.0)	(32.0, 38352.0)	(33.0, 77330.0)	(34.0, 254429.0)	(35.0, 1538586.0)	(36.0, 6347394.0)	(37.0, 392465.0)	
