Sample	Unique Reads	Duplicate Reads
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	12057401.0	814236.0
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	10729717.0	700380.0
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	9389707.0	606809.0
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	9327548.0	794590.0
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	11808453.0	1552006.0
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	10447504.0	985403.0
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	13462467.0	1665634.0
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	13968482.0	1222606.0
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	13688081.0	1293200.0
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	8247186.0	466742.0
SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq	12172729.0	1081734.0
SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq	13942934.0	1153565.0
SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq	11149470.0	834486.0
SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq	9535012.0	811385.0
SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq	11267495.0	973985.0
SRR23610896_GSM7062128_I_3T_17_Homo_sapiens_RNA-Seq	9788613.0	688969.0
SRR23610899_GSM7062125_I_2T_9_Homo_sapiens_RNA-Seq	11518608.0	1291395.0
SRR23610901_GSM7062123_I_2T_17_Homo_sapiens_RNA-Seq	16449126.0	1649633.0
SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq	9761525.0	961483.0
SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq	9527476.0	1172112.0
SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq	9595901.0	715993.0
SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq	12461294.0	1319859.0
SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq	12198943.0	1164532.0
SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq	12498900.0	947139.0
SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq	11732816.0	879288.0
SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq	8720196.0	698861.0
SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq	10213700.0	606895.0
cell_line_1_0h_rep1	9401964.0	884936.0
cell_line_1_0h_rep2	9156510.0	1056090.0
cell_line_1_0h_rep3	9253169.0	667365.0
cell_line_1_24h_rep1	11897620.0	1210647.0
cell_line_1_24h_rep2	12039927.0	855751.0
cell_line_1_24h_rep3	11192271.0	786053.0
cell_line_1_72h_rep1	11679070.0	1089749.0
cell_line_1_72h_rep2	9861793.0	568354.0
cell_line_1_72h_rep3	8247713.0	653436.0
cell_line_2_0h_rep1	10943671.0	1343502.0
cell_line_2_0h_rep2	10076158.0	900936.0
cell_line_2_0h_rep3	13338919.0	1014028.0
cell_line_2_24h_rep1	10717533.0	774862.0
cell_line_2_24h_rep2	10793410.0	899363.0
cell_line_2_24h_rep3	10926998.0	1140928.0
cell_line_2_72h_rep1	8905196.0	734018.0
cell_line_2_72h_rep2	9465452.0	645575.0
cell_line_2_72h_rep3	15820062.0	1498207.0
cell_line_3_0h_rep1	12375713.0	1414393.0
cell_line_3_0h_rep2	13259395.0	1090402.0
cell_line_3_0h_rep3	13202056.0	1133492.0
cell_line_3_24h_rep1	10278270.0	653547.0
cell_line_3_24h_rep2	8931838.0	738986.0
cell_line_3_24h_rep3	7835287.0	428200.0
cell_line_3_72h_rep1	11580716.0	755044.0
cell_line_3_72h_rep2	8932303.0	547413.0
cell_line_3_72h_rep3	11783571.0	1015822.0
