Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(1.0, 88.88566634791356)	(2.0, 8.084754925471522)	(3.0, 1.4217385013051123)	(4.0, 0.5272719026824055)	(5.0, 0.28258108314057495)	(6.0, 0.18274684699713198)	(7.0, 0.1158700157218597)	(8.0, 0.07930056783145505)	(9.0, 0.05068410598437416)	('>10', 0.30907149529313555)	('>50', 0.027931290605290295)	('>100', 0.01672822981737976)	('>500', 0.0156546872362044)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(1.0, 89.31499702356402)	(2.0, 7.667883100994046)	(3.0, 1.3532127676305319)	(4.0, 0.5350434520344003)	(5.0, 0.26884196250165976)	(6.0, 0.15657376671272832)	(7.0, 0.13574766816246978)	(8.0, 0.07337432408381542)	(9.0, 0.0664644624887475)	('>10', 0.3274282402594892)	('>50', 0.03585928441569364)	('>100', 0.03483081292282267)	('>500', 0.005272556929368254)	('>1k', 0.024470577300226865)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(1.0, 89.34210398543077)	(2.0, 7.709881608942995)	(3.0, 1.4208041500465347)	(4.0, 0.5128228895281867)	(5.0, 0.271637015057296)	(6.0, 0.154037069434296)	(7.0, 0.12082085710062507)	(8.0, 0.0695742129387156)	(9.0, 0.05743134997736576)	('>10', 0.27303082147601515)	('>50', 0.02397347172322798)	('>100', 0.02557331644931054)	('>500', 0.0183092518946899)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(1.0, 86.30521471996224)	(2.0, 9.693939912733539)	(3.0, 1.9947446727553517)	(4.0, 0.6711646588065933)	(5.0, 0.33396245952607734)	(6.0, 0.2126363713586853)	(7.0, 0.11675029611408363)	(8.0, 0.09352536869149002)	(9.0, 0.0648008964151048)	('>10', 0.3976408323972583)	('>50', 0.03144414553115795)	('>100', 0.05531267550002161)	('>500', 0.0)	('>1k', 0.028862990208372283)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(1.0, 80.35374021409014)	(2.0, 12.633971766131596)	(3.0, 3.2375024250665714)	(4.0, 1.3236322281480466)	(5.0, 0.6197590041651084)	(6.0, 0.334833464549138)	(7.0, 0.2594981200381662)	(8.0, 0.18240734509879192)	(9.0, 0.13149971686369952)	('>10', 0.7175725470277798)	('>50', 0.07295372721022025)	('>100', 0.07802002919347456)	('>500', 0.01809542659981472)	('>1k', 0.03651398581748327)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(1.0, 85.1607954140739)	(2.0, 10.12839544544758)	(3.0, 2.2250907278831407)	(4.0, 0.851341402867566)	(5.0, 0.39020990093574187)	(6.0, 0.2519449306142398)	(7.0, 0.19252143713487893)	(8.0, 0.09624615156054686)	(9.0, 0.0832241394101258)	('>10', 0.4868355855646193)	('>50', 0.035913976526610825)	('>100', 0.07323983052934888)	('>500', 0.008541488034222292)	('>1k', 0.015699569417503056)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(1.0, 81.36315349159439)	(2.0, 12.02106133336336)	(3.0, 3.0819366070950096)	(4.0, 1.1383239907724494)	(5.0, 0.6034807763820319)	(6.0, 0.3798894892174164)	(7.0, 0.26794717208909896)	(8.0, 0.18587602299144426)	(9.0, 0.11858698219923255)	('>10', 0.6905742853809952)	('>50', 0.04447942322785878)	('>100', 0.06571573310889031)	('>500', 0.013946095997561947)	('>1k', 0.025028596580285393)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(1.0, 86.1841704105266)	(2.0, 9.398032021118082)	(3.0, 2.01426674834845)	(4.0, 0.7605462203492495)	(5.0, 0.3893475144178443)	(6.0, 0.26870978108603394)	(7.0, 0.18391757823571497)	(8.0, 0.11898103168377547)	(9.0, 0.09575677624937276)	('>10', 0.48056589860341126)	('>50', 0.0404062118811423)	('>100', 0.03979573272431152)	('>500', 0.003984165600309641)	('>1k', 0.021519909175723766)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(1.0, 85.36496673154011)	(2.0, 9.61147197076181)	(3.0, 2.2024385433489)	(4.0, 0.8586312081396232)	(5.0, 0.48274978085022896)	(6.0, 0.3075014349035737)	(7.0, 0.20956406706063466)	(8.0, 0.1375270703693901)	(9.0, 0.10613013987978775)	('>10', 0.5950828226645006)	('>50', 0.05015558305147967)	('>100', 0.04808429758185862)	('>500', 0.0041348897020550635)	('>1k', 0.021561460146071413)	('>5k', 0.0)	('>10k+', 0.0)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(1.0, 90.5317924173476)	(2.0, 7.031985483359515)	(3.0, 1.1428787829373757)	(4.0, 0.40611063962344995)	(5.0, 0.21100004491802718)	(6.0, 0.1607969815008814)	(7.0, 0.09335291429229221)	(8.0, 0.04905795245830954)	(9.0, 0.056718615563854935)	('>10', 0.2695543101259211)	('>50', 0.01667227695794183)	('>100', 0.0181921296073605)	('>500', 0.011887451307482127)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
