Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(20, 103055.0)	(22, 126272.0)	(24, 128793.0)	(26, 100433.0)	(28, 76086.0)	(30, 63444.0)	(32, 57727.0)	(34, 66494.0)	(36, 98098.0)	(38, 106138.0)	(40, 103658.0)	(42, 118314.0)	(44, 126632.0)	(46, 135186.0)	(48, 142492.0)	(50, 156784.0)	(52, 170028.0)	(54, 180239.0)	(56, 183146.0)	(58, 178503.0)	(60, 180054.0)	(62, 192371.0)	(64, 203515.0)	(66, 200251.0)	(68, 229770.0)	(70, 263829.0)	(72, 229462.0)	(74, 207472.0)	(76, 215097.0)	(78, 258896.0)	(80, 220730.0)	(82, 221061.0)	(84, 216985.0)	(86, 213985.0)	(88, 202624.0)	(90, 206315.0)	(92, 223946.0)	(94, 409725.0)	(96, 0.0)	(98, 0.0)	(100, 6354027.0)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(20, 94187.0)	(22, 117603.0)	(24, 119080.0)	(26, 94965.0)	(28, 71303.0)	(30, 56889.0)	(32, 51978.0)	(34, 59747.0)	(36, 84808.0)	(38, 96822.0)	(40, 89613.0)	(42, 100446.0)	(44, 110960.0)	(46, 119355.0)	(48, 125653.0)	(50, 133282.0)	(52, 156736.0)	(54, 162758.0)	(56, 168815.0)	(58, 166854.0)	(60, 168112.0)	(62, 178178.0)	(64, 188763.0)	(66, 185208.0)	(68, 214983.0)	(70, 248156.0)	(72, 219564.0)	(74, 196057.0)	(76, 206708.0)	(78, 253624.0)	(80, 210877.0)	(82, 211402.0)	(84, 209995.0)	(86, 207348.0)	(88, 196017.0)	(90, 195628.0)	(92, 214071.0)	(94, 382737.0)	(96, 0.0)	(98, 0.0)	(100, 5360815.0)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(20, 101913.0)	(22, 125075.0)	(24, 124050.0)	(26, 95497.0)	(28, 69196.0)	(30, 55437.0)	(32, 49721.0)	(34, 55917.0)	(36, 81906.0)	(38, 87259.0)	(40, 82698.0)	(42, 92315.0)	(44, 99533.0)	(46, 105621.0)	(48, 109666.0)	(50, 118116.0)	(52, 133374.0)	(54, 138572.0)	(56, 142636.0)	(58, 137668.0)	(60, 138905.0)	(62, 147671.0)	(64, 154478.0)	(66, 152949.0)	(68, 175365.0)	(70, 205818.0)	(72, 173150.0)	(74, 155962.0)	(76, 162539.0)	(78, 198936.0)	(80, 164514.0)	(82, 165335.0)	(84, 162349.0)	(86, 159391.0)	(88, 151146.0)	(90, 152167.0)	(92, 168077.0)	(94, 312355.0)	(96, 0.0)	(98, 0.0)	(100, 4889239.0)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(20, 88572.0)	(22, 109642.0)	(24, 107148.0)	(26, 84093.0)	(28, 61133.0)	(30, 47150.0)	(32, 42180.0)	(34, 49022.0)	(36, 69484.0)	(38, 78950.0)	(40, 69071.0)	(42, 76793.0)	(44, 83804.0)	(46, 88555.0)	(48, 92737.0)	(50, 94797.0)	(52, 118774.0)	(54, 119163.0)	(56, 121909.0)	(58, 119787.0)	(60, 122482.0)	(62, 130200.0)	(64, 137521.0)	(66, 135629.0)	(68, 158462.0)	(70, 185315.0)	(72, 165816.0)	(74, 149939.0)	(76, 159383.0)	(78, 199009.0)	(80, 164414.0)	(82, 167262.0)	(84, 166283.0)	(86, 165260.0)	(88, 156534.0)	(90, 157739.0)	(92, 175363.0)	(94, 347604.0)	(96, 0.0)	(98, 0.0)	(100, 5355159.0)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(20, 226455.0)	(22, 267974.0)	(24, 240896.0)	(26, 189111.0)	(28, 147684.0)	(30, 119203.0)	(32, 110667.0)	(34, 134551.0)	(36, 188633.0)	(38, 240158.0)	(40, 202746.0)	(42, 222619.0)	(44, 236735.0)	(46, 227664.0)	(48, 225183.0)	(50, 224674.0)	(52, 279058.0)	(54, 264198.0)	(56, 259316.0)	(58, 258823.0)	(60, 253566.0)	(62, 259821.0)	(64, 257233.0)	(66, 239423.0)	(68, 256038.0)	(70, 272544.0)	(72, 262566.0)	(74, 220320.0)	(76, 223749.0)	(78, 278477.0)	(80, 213748.0)	(82, 208477.0)	(84, 194709.0)	(86, 189294.0)	(88, 181889.0)	(90, 179167.0)	(92, 191304.0)	(94, 345455.0)	(96, 0.0)	(98, 0.0)	(100, 4866331.0)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(20, 93856.0)	(22, 111317.0)	(24, 104160.0)	(26, 83571.0)	(28, 61960.0)	(30, 48924.0)	(32, 44599.0)	(34, 54984.0)	(36, 74542.0)	(38, 92534.0)	(40, 81122.0)	(42, 93107.0)	(44, 105177.0)	(46, 105912.0)	(48, 107861.0)	(50, 115990.0)	(52, 143006.0)	(54, 144037.0)	(56, 145798.0)	(58, 152151.0)	(60, 154787.0)	(62, 166169.0)	(64, 174187.0)	(66, 167838.0)	(68, 185286.0)	(70, 200023.0)	(72, 197945.0)	(74, 176595.0)	(76, 178456.0)	(78, 222281.0)	(80, 186538.0)	(82, 187103.0)	(84, 177802.0)	(86, 177343.0)	(88, 171953.0)	(90, 172020.0)	(92, 187245.0)	(94, 370760.0)	(96, 0.0)	(98, 0.0)	(100, 6013968.0)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(20, 291313.0)	(22, 324221.0)	(24, 296124.0)	(26, 238337.0)	(28, 186570.0)	(30, 147863.0)	(32, 136143.0)	(34, 164541.0)	(36, 225305.0)	(38, 261064.0)	(40, 236137.0)	(42, 261428.0)	(44, 274294.0)	(46, 272551.0)	(48, 277007.0)	(50, 271647.0)	(52, 313919.0)	(54, 314451.0)	(56, 301666.0)	(58, 281061.0)	(60, 275469.0)	(62, 280806.0)	(64, 281364.0)	(66, 257701.0)	(68, 271332.0)	(70, 280082.0)	(72, 267103.0)	(74, 235722.0)	(76, 235367.0)	(78, 286135.0)	(80, 231898.0)	(82, 225616.0)	(84, 210155.0)	(86, 208377.0)	(88, 192460.0)	(90, 191433.0)	(92, 198252.0)	(94, 370188.0)	(96, 0.0)	(98, 0.0)	(100, 5552999.0)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(20, 173656.0)	(22, 205164.0)	(24, 192854.0)	(26, 154268.0)	(28, 113901.0)	(30, 90532.0)	(32, 82745.0)	(34, 99230.0)	(36, 138823.0)	(38, 158756.0)	(40, 146132.0)	(42, 167583.0)	(44, 179264.0)	(46, 184111.0)	(48, 192025.0)	(50, 199463.0)	(52, 234711.0)	(54, 244529.0)	(56, 242906.0)	(58, 239583.0)	(60, 238949.0)	(62, 248289.0)	(64, 260331.0)	(66, 246154.0)	(68, 264718.0)	(70, 281564.0)	(72, 277546.0)	(74, 250471.0)	(76, 259004.0)	(78, 317696.0)	(80, 260430.0)	(82, 257885.0)	(84, 242602.0)	(86, 236799.0)	(88, 224288.0)	(90, 221421.0)	(92, 233902.0)	(94, 453595.0)	(96, 0.0)	(98, 0.0)	(100, 6975208.0)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(20, 133631.0)	(22, 158224.0)	(24, 147635.0)	(26, 118029.0)	(28, 86652.0)	(30, 71205.0)	(32, 63958.0)	(34, 78225.0)	(36, 115312.0)	(38, 132746.0)	(40, 120294.0)	(42, 141206.0)	(44, 154419.0)	(46, 158347.0)	(48, 167114.0)	(50, 182522.0)	(52, 207122.0)	(54, 216780.0)	(56, 218104.0)	(58, 214198.0)	(60, 214538.0)	(62, 227914.0)	(64, 241067.0)	(66, 230689.0)	(68, 253534.0)	(70, 274627.0)	(72, 267838.0)	(74, 242335.0)	(76, 248125.0)	(78, 311620.0)	(80, 255590.0)	(82, 256156.0)	(84, 238869.0)	(86, 236994.0)	(88, 223973.0)	(90, 229109.0)	(92, 239382.0)	(94, 466474.0)	(96, 0.0)	(98, 0.0)	(100, 7436724.0)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(20, 85921.0)	(22, 108141.0)	(24, 108526.0)	(26, 84843.0)	(28, 62171.0)	(30, 50705.0)	(32, 46526.0)	(34, 51099.0)	(36, 72042.0)	(38, 81882.0)	(40, 76098.0)	(42, 85307.0)	(44, 93666.0)	(46, 102090.0)	(48, 105476.0)	(50, 112276.0)	(52, 129102.0)	(54, 135331.0)	(56, 140198.0)	(58, 137328.0)	(60, 137198.0)	(62, 144249.0)	(64, 151568.0)	(66, 147750.0)	(68, 176474.0)	(70, 204914.0)	(72, 170888.0)	(74, 150877.0)	(76, 159411.0)	(78, 196065.0)	(80, 158833.0)	(82, 158343.0)	(84, 157948.0)	(86, 156277.0)	(88, 146464.0)	(90, 145171.0)	(92, 161874.0)	(94, 280254.0)	(96, 0.0)	(98, 0.0)	(100, 3840642.0)
