Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12871637.0	1 Gbp	0.0	20-100	39.0	93.6741789809723	82.5276348688205	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11430097.0	933.5 Mbp	0.0	20-100	39.0	93.87249094111051	81.89853703778716	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9996516.0	814.6 Mbp	0.0	20-100	39.0	93.92979318877865	81.73629292445489	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10122138.0	847.3 Mbp	0.0	20-100	39.0	92.14996980294868	83.96533805407513	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13360459.0	985.5 Mbp	0.0	20-100	38.0	88.3835818763383	73.94412239130408	78	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11432907.0	955.5 Mbp	0.0	20-100	39.0	91.38099159933094	83.8305980709893	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15128101.0	1.1 Gbp	0.0	20-100	38.0	88.98979986579943	73.30052849990888	78	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15191088.0	1.2 Gbp	0.0	20-100	38.0	91.95181727527707	80.04142520930694	92	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14981281.0	1.2 Gbp	0.0	20-100	39.0	91.36789091611568	82.37456680106327	94	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8713928.0	697 Mbp	0.0	20-100	38.0	94.64371357281787	80.20697852908584	90	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
