Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-before_filtering_read1_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	11.875399999999999	95.7586	1001.610412	12.335759999999999	39.2377	95.83676108951799	82.0	6.3258210190277	39.0	82.5276348688205	94	10.0	12.871637
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	11.2001	95.6542	881.1913119999999	10.931816999999999	39.1315	95.64063192114642	81.0	6.127509058889487	39.0	81.89853703778716	94	10.0	11.430097
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	11.505	95.7335	767.817314	9.479716	39.1197	94.8301988412763	81.0	6.070206811221354	39.0	81.73629292445489	94	10.0	9.996516
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	14.560400000000001	95.71809999999999	800.445466	9.670824	39.144	95.54131745684558	83.0	7.850030197051325	39.0	83.96533805407513	100	10.0	10.122138
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	16.7459	95.6211	917.55581	12.287173	38.8103	91.96669815011596	73.0	11.616418123661703	38.0	73.94412239130408	78	10.0	13.360458999999999
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	14.271	95.6973	903.699223	10.977094	39.3499	96.01314871187179	83.0	8.61900840066906	39.0	83.8305980709893	100	10.0	11.432907
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	16.5607	95.6112	1026.670689	13.790106	38.9587	91.15556539449334	73.0	11.010200134200574	38.0	73.30052849990888	78	10.0	15.128101
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	12.2065	95.6703	1140.392724	14.349796999999999	38.9772	94.46194373964525	79.0	8.048182724722935	38.0	80.04142520930694	92	10.0	15.191087999999999
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	12.4033	95.5596	1160.7122709999999	14.335548	39.3206	95.68973440922709	82.0	8.632109083884316	39.0	82.37456680106327	94	10.0	14.981281
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	10.4498	95.6216	655.9679659999999	8.263487	38.9094	94.83079272631126	79.0	5.356286427182127	38.0	80.20697852908584	90	10.0	8.713928
SRR23610875_GSM7062173_P_4T_17_Homo_sapiens_RNA-Seq	14.8225	95.7894	1067.9749319999999	12.799393	39.089600000000004	96.56666588454017	84.0	8.161286111262257	39.0	85.22731335852686	100	10.0	13.254463
SRR23610883_GSM7062141_I_6M_1_Homo_sapiens_RNA-Seq	11.5847	95.6229	1152.324322	14.352946999999999	39.0884	95.0746726111796	81.0	7.641281415890447	39.0	81.2613875243525	94	10.0	15.096499
SRR23610889_GSM7062135_I_4T_9_Homo_sapiens_RNA-Seq	11.7193	95.6303	933.659228	11.492395	38.9946	95.89817419222835	82.0	6.963367418964708	38.0	82.72188215644316	94	10.0	11.983956
SRR23610891_GSM7062133_I_4T_17_Homo_sapiens_RNA-Seq	13.864299999999998	95.81110000000001	766.426556	9.639213999999999	39.0698	93.1649346144363	78.0	7.84220293585193	38.0	79.19006051091989	90	10.0	10.346397
SRR23610894_GSM7062130_I_3T_9_Homo_sapiens_RNA-Seq	14.1337	95.843	956.447828	11.692772999999999	39.190999999999995	95.51764165770805	82.0	7.9564354322635324	39.0	82.86591997046109	100	10.0	12.24148
