Module	Section	Sample Name	Source
fastp	all_sections	SRR23610913_GSM7062111_C_8M_1_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_1_0h_rep1.fastp.json
fastp	all_sections	SRR23610918_GSM7062106_C_7M_1_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_1_0h_rep2.fastp.json
fastp	all_sections	SRR23610923_GSM7062101_C_6M_1_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_1_0h_rep3.fastp.json
fastp	all_sections	SRR23610929_GSM7062095_C_4T_9_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_1_24h_rep1.fastp.json
fastp	all_sections	SRR23610934_GSM7062090_C_3T_9_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_1_24h_rep2.fastp.json
fastp	all_sections	SRR23610939_GSM7062085_C_2T_9_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_1_24h_rep3.fastp.json
fastp	all_sections	SRR23610931_GSM7062093_C_4T_17_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_1_72h_rep1.fastp.json
fastp	all_sections	SRR23610946_GSM7062078_C_1T_17_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_1_72h_rep2.fastp.json
fastp	all_sections	SRR23610941_GSM7062083_C_2T_17_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_1_72h_rep3.fastp.json
fastp	all_sections	SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_2_0h_rep1.fastp.json
fastp	all_sections	SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	/home/geonwoo/bioinformatics/rnaseq/RNA-seq-analysis-env/work/d6/4f609d938ea0c13469d166a153c95c/cell_line_2_0h_rep2.fastp.json
