Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR23610832_GSM7062168_P_3T_17_Homo_sapiens_RNA-Seq	(1, 0.006013221162156764)	(2, 0.03781181834136559)	(3, 0.002548238425306742)	(4, 5.438313712544876e-05)	(5, 0.0)	(6, 7.769019589349824e-05)	(7, 0.00013984235260829683)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00043977537052437106)	(22, 9.814106301767203e-05)	(24, 0.0)	(26, 0.00024023949956190327)	(28, 0.00500313058792191)	(30, 0.0023780385783598408)	(32, 0.00391559175175703)	(34, 4.5082711816920585e-05)	(36, 0.0)	(38, 0.0005902273971586953)	(40, 0.006178422524154466)	(42, 0.003335015512900839)	(44, 0.0016809231475948896)	(46, 0.0027372423748989426)	(48, 0.0021094302385161654)	(50, 0.002078180991662772)	(52, 0.002130636804188634)	(54, 0.0026894807694819093)	(56, 0.004700243808891802)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.00040037581249641543)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 7.480190298342788e-05)	(78, 0.0011470777809200877)	(80, 0.00040785857023169344)	(82, 8.757069691825581e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0004397063165470281)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR23610835_GSM7062165_P_2T_9_Homo_sapiens_RNA-Seq	(1, 0.005721736219736368)	(2, 0.03757623404245826)	(3, 0.0024409241671352394)	(4, 4.374416070134838e-05)	(5, 0.0)	(6, 6.124182498188773e-05)	(7, 0.00015747897852485415)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00035501067990462046)	(22, 7.960085654059454e-05)	(24, 0.0)	(26, 0.00014898788466640166)	(28, 0.004920497998094706)	(30, 0.0022025563299202257)	(32, 0.003774305549642221)	(34, 3.700406744083801e-05)	(36, 0.0)	(38, 0.0005956482036047503)	(40, 0.00621146683173766)	(42, 0.003261800254897989)	(44, 0.0014762899867736962)	(46, 0.002745785877082042)	(48, 0.0019297968530985331)	(50, 0.0020238763438538924)	(52, 0.0019656552407889675)	(54, 0.0026059490830509795)	(56, 0.004774176224015459)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0003363338839571393)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 7.896471987923662e-05)	(78, 0.001173387622971701)	(80, 0.000392379898293729)	(82, 0.00013716977459685083)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.00041468208144339157)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR23610837_GSM7062163_P_2T_17_Homo_sapiens_RNA-Seq	(1, 0.005972080672906441)	(2, 0.03799323684371635)	(3, 0.0025508887296334043)	(4, 2.000697042849729e-05)	(5, 0.0)	(6, 5.001742607124322e-05)	(7, 0.00015005227821372966)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00041112341528844643)	(22, 0.00014701396637750033)	(24, 0.0)	(26, 0.0001559127250457266)	(28, 0.004847406120983388)	(30, 0.002186527830247697)	(32, 0.0037981030414199865)	(34, 5.340686105126279e-05)	(36, 0.0)	(38, 0.0006561954859499057)	(40, 0.0060892362235958775)	(42, 0.0033936207667482647)	(44, 0.0014693344043645155)	(46, 0.0026160193271281885)	(48, 0.0018301421088189915)	(50, 0.0019053026367651133)	(52, 0.0019146840289744555)	(54, 0.0023637057988507852)	(56, 0.004414348076385587)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0003876636450665925)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 5.26661762693282e-05)	(78, 0.0010591815773533062)	(80, 0.0004297293103242467)	(82, 0.00014708040493523395)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.000393903129841726)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR23610840_GSM7062160_P_1T_9_Homo_sapiens_RNA-Seq	(1, 0.06326726626331314)	(2, 0.006431447585480458)	(3, 0.00505821991361904)	(4, 0.006125188176648057)	(5, 0.00018770737960695656)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017190044237689708)	(10, 0.0)	(12, 0.00010867269345665904)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0023648131379627405)	(56, 0.0012195319540891517)	(58, 0.0)	(60, 0.0)	(62, 0.002092117700965188)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.000832429260570828)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR23610849_GSM7062151_I_8M_1_Homo_sapiens_RNA-Seq	(1, 0.06303675644676579)	(2, 0.006975808241318655)	(3, 0.005209401862615649)	(4, 0.007342562108083263)	(5, 0.00012724113744894542)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.001766406378703007)	(10, 0.0)	(12, 0.00011601397826227377)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.002135100279137609)	(56, 0.0011522216220776977)	(58, 0.0)	(60, 5.53806818225871e-06)	(62, 0.002027643963718159)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0010567370405188206)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR23610854_GSM7062146_I_7M_1_Homo_sapiens_RNA-Seq	(1, 0.06129674631307681)	(2, 0.006525024650336087)	(3, 0.004863155101322875)	(4, 0.006796171787280347)	(5, 0.00012245354571676303)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017318430037085056)	(10, 0.0)	(12, 0.00010933352296139555)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0025061496862958774)	(56, 0.0013206868743406523)	(58, 0.0)	(60, 0.0)	(62, 0.002091776364522869)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0008374418925355442)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR23610857_GSM7062191_P_8M_1_Homo_sapiens_RNA-Seq	(1, 0.06204347789587073)	(2, 0.006709368214820883)	(3, 0.00538732521682662)	(4, 0.006438349400232059)	(5, 0.00011898386981948362)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0018905214871317952)	(10, 0.0)	(12, 0.00012889919230444057)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.00228957443201888)	(56, 0.0012029396624882824)	(58, 0.0)	(60, 5.009243808061206e-06)	(62, 0.002034095561294509)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0011136836516004037)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR23610862_GSM7062186_P_7M_1_Homo_sapiens_RNA-Seq	(1, 0.005931109081851149)	(2, 0.03833168499846752)	(3, 0.002376393316923712)	(4, 5.266245577670276e-05)	(5, 0.0)	(6, 7.899368366505414e-05)	(7, 0.00014482175338593258)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0004422401085244025)	(22, 6.68242873406934e-05)	(24, 0.0)	(26, 0.00020576941780835545)	(28, 0.005005748469903777)	(30, 0.0021635111217208455)	(32, 0.003672887318169693)	(34, 3.8857647340427184e-05)	(36, 0.0)	(38, 0.000532052725562315)	(40, 0.006165314674387362)	(42, 0.0031920876238349803)	(44, 0.001490274265232382)	(46, 0.0025411724690356436)	(48, 0.0018996250385286855)	(50, 0.0018888107627701876)	(52, 0.0018877147013838728)	(54, 0.0025483188221404702)	(56, 0.00459667711592565)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.00039282620779327915)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 3.6387512242448534e-05)	(78, 0.0011786394108088735)	(80, 0.00043690676426242037)	(82, 0.00014235712768187304)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.00042071309950055436)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR23610867_GSM7062181_P_6M_1_Homo_sapiens_RNA-Seq	(1, 0.005987471965848581)	(2, 0.03770038089533198)	(3, 0.0025498487078641674)	(4, 3.337498308722732e-05)	(5, 0.0)	(6, 9.344995264423649e-05)	(7, 0.00012014993911401837)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00042138809452216546)	(22, 9.454857563077322e-05)	(24, 0.0)	(26, 0.0001860457744956394)	(28, 0.005027930186911569)	(30, 0.002454817478035058)	(32, 0.003663334763109966)	(34, 5.640393934983108e-05)	(36, 0.0)	(38, 0.0005685486604707497)	(40, 0.006098730539669407)	(42, 0.003403151252474435)	(44, 0.0015655733009707845)	(46, 0.00266777143205039)	(48, 0.0020137379161583612)	(50, 0.0020506527261995974)	(52, 0.0019796959899804913)	(54, 0.00269031698197011)	(56, 0.0046423010804053765)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0003821998813651568)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 7.93579465972602e-05)	(78, 0.0010352867545412624)	(80, 0.0003571856293715844)	(82, 0.0001079594100687588)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0003648967586468317)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR23610873_GSM7062175_P_4T_9_Homo_sapiens_RNA-Seq	(1, 0.006013361597662959)	(2, 0.038191731673706736)	(3, 0.002467314395987665)	(4, 2.2951761823141068e-05)	(5, 0.0)	(6, 4.5903523646282135e-05)	(7, 0.00012623469002727588)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0003853282640237059)	(22, 9.882610285716147e-05)	(24, 0.0)	(26, 0.00016687814498254037)	(28, 0.005198921945768746)	(30, 0.0023145901218383277)	(32, 0.0038283147155114107)	(34, 7.357790014191338e-05)	(36, 0.0)	(38, 0.0005356488978432221)	(40, 0.006659470494045219)	(42, 0.0036293591638617527)	(44, 0.001523824416077878)	(46, 0.0027989738571285276)	(48, 0.002025517696261943)	(50, 0.0020740813692897864)	(52, 0.0020722904598405737)	(54, 0.0027053875197775245)	(56, 0.0047552811665819445)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0004582510390842311)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 6.33803990140183e-05)	(78, 0.0011970727829604172)	(80, 0.0004258810220060467)	(82, 9.984408347923882e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.00048282548531910233)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
